,t0 (s),tf (s),E (kJ/mol),E std. (kJ/mol),mass (ugC),mass std. (ugC),d13C (VPDB),d13C std. (VPDB),Fm,Fm std.
1,200.0,790.0,120.69593215342029,9.575870804861797,0.11,0.0011,-22.94704334,0.093904984,0.9451,0.0018
2,790.0,975.0,130.0380580157152,5.701599940982301,0.16,0.0016,-26.05479347,0.010407598,0.95395,0.002
3,975.0,1450.0,142.05606223732102,8.379214502345102,0.442,0.00442,-22.66115688,0.023091757,0.9434,0.002
4,1450.0,1875.0,163.05530801287534,8.106467977932766,0.204,0.0020399999999999997,-22.93551508,0.018907561,0.9154,0.0019
5,1875.0,3500.0,178.93271271737856,6.009811387578056,0.084,0.00084,-20.44116199,0.007907809,0.8625,0.0018
