,t0 (s),tf (s),E (kJ/mol),E std. (kJ/mol),mass (ugC),mass std. (ugC),d13C (VPDB),d13C std. (VPDB),Fm,Fm std.
1,200.0,815.0,126.33898491054678,6.576618954455116,0.077,0.00077,-22.30595252,0.040406818,1.0418,0.0022
2,815.0,1230.0,135.42149234884158,6.537212415231399,0.477,0.00477,-19.24562053,0.009591131,1.04365,0.003
3,1230.0,1400.0,146.8833753661239,6.552578060028265,0.139,0.0013900000000000002,-14.7766548,0.023090639,1.0002,0.0018
4,1400.0,1825.0,161.52880974277565,8.642510032143855,0.209,0.00209,-15.62385953,0.084405226,0.9755,0.0019
5,1825.0,3500.0,178.27535898894598,6.745213899511044,0.098,0.00098,-15.44323328,0.025406716,0.9256,0.0023
