,t0 (s),tf (s),E (kJ/mol),E std. (kJ/mol),mass (ugC),mass std. (ugC),d13C (VPDB),d13C std. (VPDB),Fm,Fm std.
1,200.0,850.0,128.3262038699558,5.5434715149147715,0.076,0.00076,-13.81515767,0.1,0.9757,0.0022
2,850.0,1350.0,138.99026619583793,7.261092635912896,0.532,0.00532,-12.30988625,0.1,0.9338,0.0023
3,1350.0,1600.0,155.52440882676143,7.363521518489001,0.166,0.00166,-12.81291825,0.1,0.8616,0.0021
4,1600.0,1850.0,167.2111783521023,6.752316935015622,0.126,0.00126,-11.73264393,0.1,0.8568,0.0019
5,1850.0,3500.0,180.79790226250427,11.229519901840696,0.101,0.00101,-12.08502406,0.1,0.8361,0.0021
