,t0 (s),tf (s),E (kJ/mol),E std. (kJ/mol),mass (ugC),mass std. (ugC),d13C (VPDB),d13C std. (VPDB),Fm,Fm std.
1,200.0,750.0,121.62872428567546,8.17061174280563,0.081,0.0008100000000000001,-27.07,0.02,0.9345,0.0026
2,750.0,1100.0,131.9723645643975,6.04664248959275,0.427,0.00427,-25.54,0.05,0.9114,0.0018
3,1100.0,1275.0,140.8265915697645,5.561389949231105,0.221,0.00221,-24.77,0.06,0.9128,0.0018
4,1275.0,1475.0,148.9288750794147,5.811592734905052,0.152,0.00152,-23.9,0.0425,0.8885,0.0024
5,1475.0,3500.0,162.3104033245678,8.982530609067918,0.119,0.0011899999999999999,-23.42,0.04,0.8858,0.0025
