,t0 (s),tf (s),E (kJ/mol),E std. (kJ/mol),mass (ugC),mass std. (ugC),d13C (VPDB),d13C std. (VPDB),Fm,Fm std.
1,200.0,725.0,122.5507589466156,8.112888287622877,0.068,0.00068,-26.41885096,0.04,0.666,0.0013
2,725.0,1100.0,130.33668397985315,5.607552824326741,0.503,0.00503,-25.26892181,0.04,0.679,0.0014
3,1100.0,1300.0,141.21443963020027,6.3507443316201115,0.18,0.0018,-23.93265751,0.04,0.6652,0.0013
4,1300.0,1540.0,152.11598726297635,6.427172416210686,0.129,0.0012900000000000001,-25.07452504,0.04,0.6601,0.0014
5,1540.0,3500.0,166.07549299527406,8.137831983338712,0.12,0.0012,-24.16573798,0.04,0.6308,0.0013
