#  Sample no 8 : Stan6
#  Number of scans: 3020
#  B=	150 - -1	278 - -1	1367 - -1
#  P=	178 - 265	333 - 1309	1856 - 2945
# 
#t [s]	Oxid.tube C	Postcomb.tube C	Flow N<sub>2</sub> ml/min	Flow lance ml/min	Input mbar	Output mbar	IR detect. unit
0	59	801	581	151	1553	1532	0
1	59	801	581	151	1553	1532	1041
2	59	801	581	151	1553	1532	1036
3	59	801	581	151	1553	1532	1033
4	59	801	580	151	1553	1533	1029
5	59	801	580	151	1553	1533	1026
6	59	801	580	151	1552	1533	1022
7	59	801	580	151	1552	1532	1019
8	60	801	580	151	1552	1532	1015
9	60	801	580	151	1552	1532	1011
10	60	801	580	151	1552	1532	1007
11	60	800	580	151	1552	1532	1002
12	60	800	581	151	1552	1532	999
13	60	801	581	151	1552	1532	998
14	60	800	581	151	1552	1532	998
15	61	799	581	151	1553	1533	997
16	61	799	581	151	1553	1532	997
17	61	799	581	151	1553	1532	997
18	61	798	581	151	1553	1532	996
19	61	798	581	151	1553	1532	994
20	61	798	581	151	1553	1532	994
21	61	798	581	151	1553	1532	993
22	61	798	581	151	1553	1532	992
23	61	797	581	151	1554	1532	992
24	61	797	581	151	1554	1532	992
25	61	797	581	151	1553	1532	992
26	61	796	581	151	1552	1532	992
27	62	796	581	150	1552	1533	992
28	62	796	581	150	1553	1533	992
29	62	796	581	150	1553	1533	992
30	62	795	581	150	1553	1533	992
31	62	795	581	150	1553	1533	992
32	62	795	581	150	1553	1533	992
33	62	794	580	150	1553	1533	992
34	62	794	580	150	1553	1532	992
35	62	794	580	150	1553	1532	991
36	62	793	580	150	1553	1532	991
37	62	793	580	150	1553	1532	991
38	62	793	580	150	1553	1532	991
39	62	793	580	151	1553	1532	992
40	62	793	580	151	1552	1532	992
41	62	793	581	151	1552	1532	992
42	62	793	581	151	1552	1533	992
43	62	793	581	151	1553	1533	991
44	62	794	581	151	1552	1533	991
45	62	794	581	150	1553	1533	991
46	62	794	581	150	1553	1533	991
47	62	794	581	150	1553	1533	990
48	63	795	581	150	1553	1533	990
49	63	795	581	150	1553	1533	989
50	63	795	581	151	1553	1533	988
51	63	795	581	151	1553	1532	986
52	63	795	581	151	1553	1532	986
53	63	795	581	151	1553	1532	986
54	63	795	581	151	1553	1532	988
55	63	796	581	151	1553	1532	988
56	63	796	581	151	1553	1532	989
57	63	796	581	151	1553	1532	989
58	63	797	581	151	1553	1532	989
59	63	798	581	151	1553	1532	990
60	63	798	581	151	1553	1532	991
61	63	798	581	151	1553	1532	992
62	64	798	581	151	1552	1533	993
63	64	799	581	151	1552	1532	994
64	64	799	581	151	1552	1532	996
65	64	799	581	151	1553	1532	997
66	64	800	581	151	1553	1532	998
67	64	800	581	151	1553	1532	999
68	64	800	581	151	1553	1532	999
69	64	800	581	151	1553	1532	1000
70	64	800	581	151	1553	1532	1000
71	64	800	581	151	1553	1532	1000
72	64	800	581	151	1553	1532	1000
73	64	800	581	151	1552	1532	1000
74	64	800	581	151	1553	1532	1000
75	64	800	581	151	1553	1532	999
76	64	800	581	151	1553	1532	999
77	64	800	581	151	1553	1532	1000
78	64	800	581	151	1552	1532	1000
79	64	800	581	151	1552	1532	999
80	64	800	581	152	1546	1530	999
81	65	800	581	156	1528	1524	998
82	64	800	581	166	1480	1497	997
83	64	800	581	182	1374	1441	997
84	64	799	581	185	1223	1364	996
85	64	799	581	180	1052	1268	996
86	64	799	580	170	899	1154	996
87	64	798	569	157	762	1025	997
88	64	798	546	142	640	887	998
89	64	798	514	121	534	749	1000
90	64	798	475	92	441	626	1001
91	64	797	430	67	360	520	1002
92	64	798	380	52	290	427	1005
93	64	797	325	44	230	347	1006
94	64	796	271	37	180	278	1007
95	65	796	224	32	138	220	1008
96	65	796	185	28	103	171	1008
97	65	796	150	24	74	131	1008
98	65	795	120	20	53	98	1008
99	64	795	93	17	36	71	1007
100	65	795	71	14	23	50	1006
101	65	795	52	12	14	34	1005
102	65	795	37	10	8	23	1005
103	65	794	26	8	4	14	1005
104	65	794	17	7	1	8	1003
105	65	794	11	6	0	4	1005
106	65	794	7	4	0	2	1006
107	65	794	4	4	0	1	1007
108	65	793	3	3	0	0	1008
109	65	793	2	3	0	0	1009
110	65	793	1	3	0	0	1011
111	65	793	1	2	0	0	1013
112	66	793	1	2	58	0	1013
113	66	793	1	47	127	0	1014
114	66	793	1	109	191	0	1015
115	66	793	1	170	193	0	1015
116	66	794	1	231	182	0	1014
117	66	794	1	292	174	0	1014
118	66	794	1	353	169	0	1014
119	66	795	1	414	164	0	1013
120	66	795	1	455	159	0	1013
121	66	795	1	461	156	0	1011
122	66	796	1	461	154	0	1011
123	66	797	1	461	152	0	1013
124	66	796	1	461	151	0	1013
125	66	796	1	461	149	0	1013
126	66	797	1	461	148	0	1013
127	66	797	1	462	147	0	1014
128	66	797	1	462	146	0	1014
129	66	798	1	462	146	0	1013
130	66	798	1	462	145	0	1011
131	66	798	1	462	144	0	1013
132	66	799	1	462	144	0	1013
133	66	799	1	462	144	0	1013
134	66	799	1	462	143	0	1013
135	66	800	1	462	143	0	1014
136	66	800	1	462	143	0	1014
137	66	800	1	462	142	0	1015
138	66	800	1	462	142	0	1015
139	66	800	1	462	142	0	1016
140	66	800	11	457	172	6	1016
141	66	800	59	447	292	53	1016
142	66	800	134	435	490	137	1016
143	66	800	211	419	718	249	1015
144	66	800	289	399	902	382	1014
145	66	800	366	376	1040	529	1014
146	66	800	443	351	1145	688	1017
147	66	799	516	325	1222	853	1034
148	66	799	564	303	1283	1000	1060
149	66	799	580	282	1332	1114	1086
150	66	798	581	263	1371	1200	1112
151	68	798	581	246	1405	1265	1138
152	69	798	581	232	1432	1316	1162
153	70	797	581	219	1457	1356	1177
154	70	797	581	208	1475	1389	1178
155	71	797	581	198	1490	1416	1177
156	71	797	581	190	1503	1438	1173
157	71	797	581	183	1512	1456	1155
158	71	797	581	177	1520	1472	1130
159	72	797	581	173	1527	1484	1106
160	73	797	581	169	1533	1493	1083
161	74	796	581	165	1537	1501	1062
162	80	796	581	163	1541	1507	1044
163	82	795	581	160	1544	1512	1036
164	84	795	581	158	1547	1517	1042
165	84	795	581	157	1549	1520	1049
166	86	794	581	155	1551	1524	1056
167	88	794	581	154	1553	1526	1061
168	90	794	581	153	1553	1528	1064
169	90	794	581	152	1555	1530	1066
170	92	793	581	152	1555	1532	1066
171	93	793	581	151	1556	1533	1064
172	95	793	581	151	1556	1534	1060
173	96	794	581	151	1557	1534	1055
174	97	794	581	150	1557	1535	1051
175	98	794	581	150	1557	1535	1046
176	100	794	581	150	1557	1536	1042
177	101	794	581	150	1557	1536	1039
178	101	794	581	150	1557	1536	1037
179	102	794	581	149	1558	1537	1037
180	104	795	581	149	1558	1537	1036
181	105	795	581	149	1558	1537	1037
182	106	795	581	149	1557	1537	1039
183	106	795	581	149	1558	1537	1042
184	106	795	581	149	1558	1536	1046
185	108	795	581	149	1558	1537	1050
186	109	795	581	149	1557	1537	1054
187	109	796	581	149	1558	1537	1059
188	110	796	581	149	1557	1537	1065
189	111	796	581	149	1557	1537	1072
190	112	797	581	150	1557	1537	1080
191	112	797	581	150	1557	1537	1088
192	112	798	581	150	1557	1537	1096
193	113	798	581	150	1557	1537	1104
194	113	798	581	150	1557	1537	1113
195	114	799	581	150	1557	1537	1122
196	115	799	581	150	1557	1536	1130
197	115	799	581	150	1557	1537	1138
198	116	800	581	150	1557	1536	1147
199	117	800	581	150	1557	1536	1156
200	117	800	581	150	1557	1536	1164
201	117	800	581	150	1557	1536	1174
202	117	800	581	150	1557	1535	1184
203	118	800	581	150	1557	1535	1195
204	118	800	581	150	1557	1535	1207
205	118	800	581	150	1556	1534	1219
206	119	800	581	150	1557	1535	1233
207	119	800	581	150	1557	1535	1248
208	120	800	581	150	1557	1535	1263
209	120	800	581	150	1556	1535	1279
210	120	800	581	150	1556	1535	1296
211	121	800	581	150	1556	1535	1314
212	121	800	581	150	1555	1535	1332
213	121	800	581	150	1555	1534	1352
214	122	800	581	150	1555	1534	1371
215	122	799	581	150	1555	1534	1391
216	122	799	581	150	1556	1534	1410
217	122	799	581	150	1557	1534	1429
218	123	799	581	150	1557	1534	1447
219	123	798	581	150	1557	1534	1463
220	123	798	581	150	1556	1534	1477
221	123	798	581	150	1555	1534	1490
222	123	798	581	150	1555	1534	1501
223	123	797	581	150	1555	1534	1510
224	127	796	581	150	1555	1534	1518
225	123	797	581	151	1555	1534	1524
226	124	796	581	151	1555	1534	1529
227	125	796	581	151	1555	1534	1532
228	125	796	581	151	1555	1534	1534
229	125	796	581	151	1554	1534	1535
230	125	795	581	151	1554	1534	1535
231	125	795	581	151	1554	1534	1536
232	126	795	581	151	1554	1534	1536
233	126	795	581	151	1554	1534	1535
234	126	794	581	151	1554	1533	1533
235	126	794	581	151	1554	1533	1532
236	126	794	581	151	1553	1533	1531
237	126	794	581	151	1554	1533	1530
238	127	793	581	151	1554	1533	1529
239	127	793	581	151	1554	1533	1529
240	127	793	581	151	1553	1533	1530
241	127	793	581	152	1552	1532	1532
242	127	793	581	152	1552	1532	1532
243	127	793	581	152	1552	1532	1532
244	127	793	581	152	1553	1532	1532
245	127	793	581	152	1553	1532	1530
246	128	793	581	152	1553	1532	1528
247	128	794	581	152	1552	1531	1523
248	128	794	581	152	1552	1532	1519
249	128	794	581	152	1552	1532	1513
250	128	795	581	152	1552	1532	1507
251	128	795	581	152	1552	1532	1500
252	128	795	581	152	1552	1532	1494
253	128	795	581	152	1552	1532	1488
254	128	796	581	152	1552	1531	1482
255	128	796	581	152	1551	1531	1476
256	128	796	581	152	1552	1531	1472
257	128	796	581	152	1552	1531	1467
258	128	796	581	152	1552	1531	1463
259	128	797	581	152	1552	1531	1459
260	128	797	581	152	1552	1531	1455
261	128	797	581	152	1552	1531	1451
262	128	798	581	152	1552	1531	1448
263	128	798	581	152	1552	1531	1444
264	128	798	581	152	1552	1531	1442
265	128	799	581	152	1552	1531	1441
266	128	800	581	152	1552	1531	1441
267	128	800	581	152	1552	1532	1442
268	128	800	581	152	1552	1532	1444
