#  Sample no 6 : Stan4
#  Number of scans: 2923
#  B=	150 - -1	286 - -1	1302 - -1
#  P=	163 - 277	286 - 1287	1789 - 2857
# 
#t [s]	Oxid.tube C	Postcomb.tube C	Flow N<sub>2</sub> ml/min	Flow lance ml/min	Input mbar	Output mbar	IR detect. unit
0	59	796	580	154	1557	1536	0
1	59	795	581	154	1558	1536	1072
2	59	795	581	154	1558	1536	1000
3	59	795	581	154	1558	1536	1062
4	59	795	581	154	1558	1537	1055
5	59	794	581	154	1558	1537	1048
6	59	794	581	154	1558	1537	1041
7	59	794	581	154	1558	1537	1034
8	59	794	581	154	1557	1537	1027
9	60	794	581	154	1558	1537	1019
10	60	794	581	154	1558	1537	1013
11	60	794	581	154	1558	1537	1006
12	60	794	581	154	1558	1537	999
13	60	794	581	154	1558	1537	999
14	60	794	581	154	1558	1537	1000
15	60	794	581	154	1558	1537	1001
16	61	794	581	153	1558	1537	1002
17	61	795	581	153	1558	1537	1002
18	61	794	581	153	1559	1537	1003
19	61	795	581	153	1558	1537	1005
20	61	795	581	154	1558	1537	1005
21	61	795	581	154	1557	1537	1006
22	61	795	581	154	1557	1537	1006
23	61	796	581	154	1558	1537	1006
24	61	796	581	153	1558	1538	1005
25	61	796	581	153	1559	1538	1003
26	61	797	581	153	1558	1538	1003
27	61	797	581	153	1558	1538	1002
28	61	797	581	153	1558	1538	1002
29	61	798	581	153	1558	1538	1002
30	62	798	581	153	1558	1538	1001
31	62	798	581	154	1558	1537	1001
32	62	798	581	154	1558	1537	1000
33	62	798	581	153	1558	1537	1000
34	62	799	581	153	1558	1537	1000
35	62	799	581	153	1558	1537	1000
36	62	800	581	153	1559	1538	999
37	62	800	581	154	1558	1538	999
38	62	800	581	154	1558	1538	999
39	62	800	581	153	1558	1538	999
40	62	800	581	153	1558	1538	1000
41	62	800	581	154	1558	1538	1000
42	62	800	581	154	1558	1538	1001
43	62	800	581	154	1558	1538	1002
44	62	800	581	153	1558	1538	1002
45	62	800	581	153	1558	1538	1003
46	62	800	581	153	1558	1538	1005
47	62	800	581	154	1558	1538	1006
48	62	800	581	153	1559	1538	1006
49	62	800	581	153	1559	1538	1005
50	63	800	581	153	1559	1538	1002
51	63	800	581	153	1559	1538	1002
52	63	800	581	153	1559	1538	1001
53	63	799	581	153	1558	1538	999
54	63	799	581	153	1558	1537	998
55	63	799	581	154	1558	1537	998
56	63	798	581	154	1558	1537	998
57	63	798	581	154	1558	1537	998
58	63	798	581	154	1558	1537	999
59	63	798	581	154	1558	1537	1000
60	63	798	581	154	1558	1537	1001
61	63	797	581	154	1558	1537	1001
62	63	797	581	154	1558	1538	1001
63	63	797	581	154	1558	1538	1001
64	63	796	581	154	1558	1538	999
65	63	796	581	154	1558	1538	998
66	64	796	581	154	1558	1538	996
67	64	796	581	154	1558	1538	994
68	64	795	581	154	1558	1538	993
69	64	795	581	154	1558	1538	992
70	64	795	581	154	1559	1538	991
71	64	794	581	154	1558	1538	990
72	64	794	581	154	1558	1537	990
73	64	793	581	154	1558	1537	991
74	64	793	581	154	1558	1537	992
75	65	793	581	154	1558	1537	992
76	64	793	581	154	1558	1537	993
77	64	793	581	154	1558	1537	994
78	64	793	581	154	1558	1537	994
79	64	793	581	154	1558	1537	996
80	64	793	581	155	1553	1536	996
81	64	794	581	159	1535	1530	997
82	64	794	581	170	1485	1503	998
83	64	794	581	185	1378	1448	999
84	64	794	581	187	1228	1370	999
85	64	794	581	181	1057	1273	999
86	64	794	580	170	903	1159	999
87	64	795	569	157	765	1030	999
88	64	795	547	141	644	891	999
89	64	795	515	120	536	752	999
90	64	795	477	91	443	629	999
91	64	795	432	66	361	523	1000
92	64	795	381	52	292	430	1000
93	65	796	327	43	232	349	1001
94	64	796	273	37	181	280	1001
95	64	796	226	32	140	222	1002
96	64	797	186	28	104	173	1002
97	64	797	151	24	76	132	1003
98	64	798	121	21	54	99	1005
99	65	798	95	17	36	72	1007
100	65	799	72	15	24	51	1009
101	65	800	53	12	14	35	1010
102	65	799	38	10	8	23	1011
103	65	799	27	9	4	14	1014
104	65	800	18	7	2	8	1016
105	65	800	12	6	1	4	1017
106	65	800	8	5	0	2	1019
107	65	800	5	4	0	0	1019
108	65	800	3	4	0	0	1019
109	65	800	2	3	0	0	1019
110	65	800	1	3	0	0	1021
111	65	801	1	3	0	0	1021
112	65	801	1	2	73	0	1019
113	66	801	1	60	140	0	1019
114	66	801	1	121	204	0	1019
115	66	800	1	182	190	0	1018
116	65	800	1	243	181	0	1016
117	66	800	1	304	174	0	1015
118	66	800	1	366	167	0	1014
119	66	800	1	427	163	0	1011
120	66	800	1	461	160	0	1010
121	66	800	1	462	157	0	1009
122	66	799	1	462	154	0	1007
123	66	799	1	462	152	0	1006
124	66	799	1	462	151	0	1006
125	66	798	1	462	149	0	1006
126	66	798	1	462	148	0	1007
127	66	798	1	462	147	0	1008
128	66	798	1	462	146	0	1010
129	66	798	1	462	146	0	1011
130	66	798	1	462	145	0	1013
131	66	797	1	462	144	0	1014
132	66	797	1	462	144	0	1016
133	66	796	1	462	144	0	1016
134	66	796	1	462	144	0	1017
135	66	796	1	462	143	0	1017
136	66	796	1	462	143	0	1016
137	66	795	1	462	143	0	1016
138	66	795	1	462	143	0	1015
139	66	795	1	462	143	0	1015
140	66	795	11	457	172	6	1015
141	67	794	59	448	294	53	1015
142	66	794	134	436	492	137	1015
143	66	794	212	419	722	250	1016
144	66	793	289	400	905	383	1017
145	66	793	366	377	1044	532	1019
146	66	793	444	351	1147	690	1026
147	66	793	517	325	1225	855	1054
148	66	793	565	302	1285	1003	1096
149	66	793	580	281	1334	1117	1137
150	66	793	581	262	1374	1203	1178
151	66	793	581	246	1409	1269	1218
152	68	793	581	231	1437	1319	1255
153	67	794	581	218	1460	1360	1278
154	66	794	581	207	1478	1393	1278
155	66	795	581	197	1494	1420	1275
156	66	795	581	189	1507	1443	1268
157	67	795	581	182	1518	1461	1239
158	68	796	581	176	1525	1476	1197
159	71	795	581	172	1532	1488	1157
160	74	795	581	168	1537	1498	1118
161	78	795	581	164	1541	1505	1081
162	79	795	581	162	1545	1512	1047
163	80	796	581	159	1548	1517	1029
164	81	796	581	157	1551	1521	1033
165	83	796	581	156	1553	1525	1040
166	84	797	581	154	1555	1528	1047
167	84	797	581	153	1557	1530	1053
168	85	798	581	152	1557	1532	1058
169	87	798	581	151	1558	1534	1062
170	88	798	581	151	1558	1535	1065
171	89	798	581	150	1558	1536	1065
172	90	799	581	150	1559	1537	1064
173	91	799	581	150	1560	1537	1063
174	92	799	581	150	1560	1538	1062
175	93	800	581	149	1560	1538	1060
176	93	800	581	149	1561	1539	1057
177	94	800	581	149	1561	1539	1056
178	95	800	581	149	1561	1539	1055
179	97	800	581	149	1561	1539	1053
180	98	800	581	149	1562	1539	1052
181	99	800	581	149	1561	1540	1053
182	100	800	581	149	1562	1540	1054
183	101	800	581	149	1561	1540	1056
184	101	800	581	148	1562	1540	1058
185	102	800	581	148	1561	1540	1062
186	104	800	581	148	1561	1540	1067
187	105	800	581	148	1561	1540	1073
188	106	800	581	148	1561	1540	1080
189	106	800	581	148	1562	1541	1088
190	106	799	581	148	1561	1540	1096
191	108	799	581	148	1561	1540	1105
192	108	799	581	148	1561	1540	1113
193	109	799	581	148	1561	1540	1121
194	110	798	581	148	1562	1540	1129
195	111	798	581	148	1562	1540	1136
196	111	798	581	148	1563	1541	1144
197	112	798	581	148	1562	1540	1153
198	112	798	581	148	1561	1540	1162
199	112	797	581	148	1560	1540	1172
200	113	797	581	148	1561	1540	1182
201	113	797	581	148	1561	1540	1193
202	114	796	581	148	1561	1540	1205
203	114	796	581	148	1561	1540	1218
204	115	796	581	148	1560	1540	1232
205	115	796	581	149	1560	1540	1246
206	116	795	581	148	1560	1540	1261
207	117	795	581	149	1560	1540	1276
208	117	795	581	149	1560	1540	1292
209	117	795	580	149	1560	1540	1309
210	117	794	580	149	1560	1540	1326
211	118	794	580	149	1560	1540	1343
212	118	794	580	149	1560	1539	1360
213	118	794	580	149	1560	1539	1377
214	119	793	580	149	1560	1539	1393
215	119	793	580	149	1560	1539	1408
216	119	793	580	149	1560	1539	1422
217	120	793	581	149	1560	1538	1434
218	120	793	581	149	1559	1538	1445
219	120	793	581	150	1559	1538	1453
220	120	794	581	149	1560	1538	1460
221	121	794	581	150	1559	1538	1464
222	121	794	581	150	1559	1538	1466
223	121	794	581	150	1559	1538	1467
224	121	794	581	150	1559	1538	1467
225	122	795	581	150	1559	1538	1466
226	122	795	581	150	1559	1538	1465
227	122	796	581	150	1559	1538	1463
228	122	796	581	150	1558	1538	1462
229	123	796	581	150	1558	1538	1461
230	123	796	581	150	1558	1538	1461
231	120	797	581	150	1558	1538	1461
232	120	798	581	150	1559	1538	1463
233	121	798	581	150	1559	1538	1465
234	123	798	581	150	1559	1538	1467
235	125	798	581	150	1559	1538	1469
236	128	798	581	150	1560	1538	1471
237	128	798	581	150	1559	1538	1472
238	129	798	581	150	1560	1538	1472
239	129	799	581	150	1560	1538	1471
240	131	799	581	150	1560	1538	1470
241	132	799	581	149	1559	1538	1467
242	133	799	581	149	1558	1538	1463
243	134	799	581	149	1559	1538	1460
244	134	799	581	149	1559	1538	1456
245	135	800	581	149	1560	1538	1452
246	135	800	581	150	1559	1538	1449
247	136	799	581	150	1559	1538	1447
248	137	799	581	150	1559	1539	1445
249	137	799	581	150	1560	1539	1445
250	138	799	581	150	1560	1539	1445
251	139	799	581	150	1560	1539	1447
252	139	798	581	150	1560	1539	1450
253	139	798	581	150	1560	1539	1454
254	139	798	581	149	1560	1539	1458
255	140	798	581	150	1560	1539	1462
256	140	798	581	150	1560	1539	1466
257	141	798	581	150	1560	1538	1470
258	141	797	581	150	1560	1538	1473
259	142	797	581	150	1559	1538	1475
260	142	797	581	150	1559	1538	1477
261	143	796	581	150	1560	1538	1478
262	143	796	581	150	1560	1538	1479
263	143	796	581	150	1560	1538	1478
264	144	796	581	150	1559	1538	1477
265	144	795	581	150	1559	1538	1476
266	144	795	581	150	1559	1538	1475
267	145	795	581	150	1559	1539	1473
268	145	795	581	150	1560	1538	1472
269	145	795	581	150	1559	1538	1471
270	145	794	581	150	1558	1538	1470
271	145	794	581	150	1558	1538	1468
272	145	793	581	150	1559	1538	1466
273	145	793	581	150	1559	1538	1464
274	145	793	581	150	1559	1538	1462
275	145	793	581	150	1558	1538	1461
276	146	793	581	150	1558	1538	1460
277	146	793	581	150	1558	1538	1459
278	146	794	581	150	1559	1538	1458
279	146	794	581	150	1559	1538	1459
280	147	794	581	150	1558	1538	1460
281	146	794	581	150	1558	1538	1462
282	147	795	581	150	1558	1538	1465
283	147	795	581	150	1558	1538	1469
284	147	795	581	150	1558	1537	1473
285	147	795	581	150	1558	1537	1477
286	147	795	581	150	1558	1537	1480
287	146	795	581	150	1559	1537	1483
288	148	795	581	150	1559	1537	1486
289	150	795	581	150	1559	1537	1488
290	151	796	581	150	1558	1537	1488
291	153	796	581	150	1558	1537	1488
292	155	796	581	150	1558	1538	1488
293	156	796	581	150	1558	1537	1487
294	157	796	581	150	1558	1537	1485
295	159	797	581	150	1558	1538	1484
296	161	798	581	150	1559	1538	1484
297	160	798	581	150	1558	1538	1484
298	161	799	581	150	1559	1538	1484
299	163	799	581	150	1559	1538	1484
300	164	800	581	150	1560	1539	1486
301	165	800	581	150	1559	1539	1488
302	166	800	581	150	1559	1539	1490
303	167	800	581	150	1559	1539	1490
304	168	800	581	149	1560	1539	1495
305	169	800	581	149	1560	1539	1495
306	170	801	581	149	1560	1539	1499
307	171	800	581	149	1560	1539	1500
308	172	801	581	149	1560	1539	1500
309	172	801	581	149	1560	1539	1503
310	173	800	581	149	1560	1539	1503
311	174	800	581	149	1560	1539	1505
312	175	800	581	149	1560	1539	1506
313	176	800	581	149	1560	1539	1506
314	176	800	581	149	1560	1539	1506
315	177	800	581	149	1560	1539	1504
316	177	800	581	149	1560	1539	1503
317	177	800	581	149	1560	1539	1501
318	178	800	581	149	1560	1539	1499
319	179	800	581	149	1560	1539	1496
320	179	800	581	149	1560	1539	1495
321	180	799	581	149	1560	1538	1493
322	180	799	581	149	1560	1539	1492
323	181	799	581	149	1560	1539	1492
324	181	798	581	149	1560	1539	1493
325	182	798	581	149	1560	1539	1496
326	182	798	581	149	1560	1539	1499
327	183	797	581	149	1560	1539	1503
328	183	797	581	150	1560	1539	1507
329	183	797	581	150	1560	1539	1511
330	183	796	581	150	1560	1539	1515
331	183	796	581	150	1560	1539	1519
332	183	796	581	150	1560	1538	1523
333	184	796	581	150	1560	1538	1527
334	184	795	581	150	1559	1538	1532
335	184	795	581	150	1559	1538	1539
336	184	794	581	150	1559	1538	1547
337	184	794	581	150	1559	1538	1556
338	184	794	581	150	1559	1538	1566
339	185	794	581	150	1559	1538	1579
340	185	793	581	150	1558	1538	1592
341	185	793	581	150	1558	1538	1607
342	185	793	581	150	1557	1538	1623
343	185	793	581	151	1557	1537	1641
344	185	793	581	151	1557	1537	1659
345	186	793	581	151	1557	1537	1678
346	186	794	581	151	1558	1537	1697
347	186	794	581	151	1558	1537	1714
348	186	794	581	151	1558	1537	1732
349	186	794	581	151	1558	1537	1750
350	186	794	581	151	1557	1538	1766
351	186	794	581	151	1557	1537	1782
352	186	795	581	151	1557	1537	1797
353	186	795	581	151	1558	1537	1811
354	186	795	581	151	1558	1537	1823
355	186	795	581	151	1558	1537	1835
356	186	795	581	151	1558	1537	1845
357	186	795	581	151	1558	1537	1855
358	186	796	581	151	1558	1537	1864
359	186	796	581	151	1558	1537	1876
360	186	796	581	150	1558	1537	1888
361	186	796	581	150	1558	1537	1901
362	186	797	581	150	1558	1537	1917
363	186	797	581	150	1558	1537	1932
364	186	798	581	150	1557	1537	1951
365	185	798	581	150	1557	1537	1971
366	185	798	581	150	1557	1538	1992
367	185	799	581	150	1557	1537	2014
368	185	799	581	150	1557	1537	2036
369	185	800	581	151	1557	1537	2058
370	185	799	581	151	1557	1537	2077
371	185	800	581	151	1557	1537	2094
372	185	800	581	151	1557	1537	2107
373	184	800	581	151	1558	1537	2117
374	185	800	581	151	1557	1537	2123
375	184	800	581	151	1558	1537	2126
376	184	800	581	151	1558	1537	2126
377	184	800	581	151	1558	1537	2125
378	184	800	581	151	1558	1536	2122
379	184	800	581	151	1557	1536	2119
380	184	800	581	151	1558	1536	2116
381	184	800	581	151	1558	1536	2114
382	184	800	581	150	1558	1536	2113
383	184	800	581	151	1558	1536	2114
384	183	800	581	151	1557	1536	2120
385	183	800	581	151	1557	1536	2129
386	183	800	581	151	1557	1536	2141
387	183	800	581	151	1558	1537	2157
388	183	799	581	151	1558	1537	2175
389	183	799	581	151	1558	1537	2194
390	183	799	581	151	1557	1537	2213
391	183	798	581	151	1557	1537	2229
392	183	798	581	151	1558	1537	2244
393	183	798	581	151	1558	1538	2254
394	182	798	581	151	1558	1538	2259
395	182	797	581	151	1558	1537	2258
396	182	797	581	151	1558	1537	2253
397	181	796	581	151	1558	1537	2242
398	181	796	581	151	1558	1537	2226
399	181	796	581	151	1558	1537	2209
400	181	795	581	151	1558	1537	2193
401	181	795	581	151	1558	1536	2179
402	181	795	581	151	1558	1537	2170
403	180	795	581	150	1558	1537	2166
404	180	794	581	150	1558	1537	2169
405	180	794	581	150	1558	1537	2176
406	180	794	581	150	1557	1537	2188
407	179	794	581	151	1557	1537	2203
408	179	794	581	151	1557	1537	2221
409	179	794	581	151	1557	1537	2239
410	179	794	581	151	1558	1537	2257
411	178	794	581	151	1557	1537	2274
412	178	794	581	151	1557	1536	2289
413	178	794	581	151	1557	1536	2301
414	178	794	581	151	1557	1536	2311
415	177	794	581	151	1557	1536	2318
416	177	794	581	151	1558	1536	2322
417	175	795	581	151	1558	1536	2324
418	176	795	581	151	1558	1536	2324
419	177	795	581	151	1558	1536	2320
420	179	794	581	151	1558	1537	2312
421	179	795	581	151	1558	1537	2302
422	180	795	581	151	1558	1537	2289
423	180	795	581	151	1557	1537	2274
424	181	796	581	151	1557	1537	2256
425	179	796	581	151	1558	1537	2238
426	181	796	581	151	1558	1537	2220
427	182	797	581	151	1558	1537	2201
428	182	797	581	151	1558	1537	2183
429	182	797	581	151	1558	1537	2166
430	182	798	581	151	1558	1537	2152
431	182	798	581	151	1558	1537	2140
432	183	798	581	151	1558	1537	2131
433	183	798	581	151	1558	1537	2126
434	183	799	581	151	1558	1537	2122
435	183	799	581	151	1558	1537	2121
436	183	799	581	151	1558	1537	2122
437	180	800	581	151	1558	1537	2125
438	182	800	581	151	1558	1537	2129
439	183	800	581	151	1559	1537	2135
440	185	800	581	150	1559	1537	2143
441	186	800	581	150	1559	1537	2152
442	187	800	581	150	1559	1538	2163
443	187	800	581	150	1558	1538	2175
444	188	800	581	150	1558	1538	2187
445	188	800	581	150	1558	1538	2200
446	188	800	581	150	1558	1538	2213
447	189	800	581	150	1558	1538	2225
448	189	800	581	150	1558	1538	2235
449	190	800	581	150	1558	1538	2243
450	190	800	581	150	1558	1538	2247
451	190	799	581	150	1559	1538	2246
452	190	799	581	150	1559	1538	2241
453	191	799	581	150	1559	1538	2232
454	192	798	581	150	1558	1538	2220
455	192	798	581	150	1558	1538	2206
456	192	798	581	150	1558	1538	2190
457	192	798	581	150	1558	1538	2175
458	193	798	581	150	1558	1538	2160
459	193	797	581	150	1558	1538	2146
460	193	797	581	150	1559	1538	2134
461	193	796	581	150	1560	1538	2125
462	193	796	581	150	1560	1538	2116
463	193	796	581	151	1558	1537	2108
464	193	796	581	151	1558	1537	2101
465	193	795	581	150	1558	1537	2094
466	194	795	581	150	1558	1538	2087
467	194	795	581	151	1559	1538	2080
468	193	794	581	151	1558	1538	2075
469	193	794	581	151	1558	1537	2069
470	194	794	581	150	1558	1538	2064
471	194	794	581	150	1559	1538	2060
472	194	793	581	150	1558	1538	2056
473	194	794	581	150	1558	1538	2052
474	194	794	581	150	1558	1538	2047
475	194	793	581	150	1558	1538	2043
476	194	793	581	150	1558	1538	2036
477	191	795	581	150	1558	1538	2028
478	192	795	581	150	1558	1538	2019
479	193	794	581	150	1559	1538	2010
480	194	794	581	150	1559	1538	2000
481	196	793	581	150	1558	1538	1991
482	198	794	581	150	1558	1538	1985
483	198	794	581	150	1558	1538	1980
484	198	794	581	150	1558	1538	1979
485	199	794	581	150	1558	1537	1980
486	199	795	581	150	1558	1537	1984
487	199	795	581	150	1558	1537	1991
488	199	795	581	150	1558	1537	2001
489	200	795	581	151	1558	1537	2012
490	200	795	581	151	1558	1537	2025
491	201	796	581	151	1558	1537	2038
492	201	796	581	151	1558	1537	2053
493	201	796	581	151	1558	1537	2069
494	201	797	581	151	1558	1537	2086
495	202	797	581	151	1558	1537	2104
496	202	798	581	151	1557	1537	2124
497	202	798	581	150	1558	1538	2146
498	202	798	581	151	1558	1538	2166
499	203	798	581	151	1558	1538	2186
500	203	799	581	151	1557	1537	2205
501	203	799	581	151	1557	1537	2223
502	203	799	581	151	1557	1537	2239
503	203	800	581	151	1558	1537	2252
504	203	800	581	151	1557	1537	2264
505	203	800	581	151	1557	1537	2273
506	204	800	581	151	1557	1536	2281
507	204	800	581	151	1557	1536	2286
508	204	800	581	151	1557	1536	2290
509	204	800	581	151	1557	1536	2292
510	204	800	581	151	1557	1536	2294
511	204	800	581	151	1557	1536	2296
512	204	800	581	151	1556	1536	2298
513	204	800	581	152	1556	1536	2298
514	204	800	581	151	1556	1536	2299
515	204	800	581	151	1556	1536	2300
516	204	800	581	152	1556	1535	2301
517	204	800	581	152	1557	1535	2303
518	203	800	581	152	1556	1535	2307
519	203	800	581	152	1556	1535	2312
520	203	800	581	152	1555	1535	2318
521	204	800	581	152	1556	1535	2326
522	205	799	581	152	1555	1535	2336
523	209	798	581	152	1555	1535	2347
524	210	798	581	152	1555	1535	2360
525	210	798	581	152	1555	1534	2374
526	210	797	581	152	1555	1534	2388
527	211	797	581	153	1555	1534	2402
528	212	797	581	153	1555	1534	2417
529	212	796	581	153	1555	1534	2431
530	213	796	581	153	1555	1534	2445
531	213	796	581	152	1555	1534	2459
532	214	796	581	152	1555	1534	2473
533	214	795	581	152	1556	1535	2487
534	215	795	581	152	1557	1535	2502
535	215	795	581	152	1556	1535	2519
536	215	794	581	152	1555	1535	2538
537	216	794	581	152	1555	1535	2559
538	216	794	581	152	1555	1535	2583
539	216	794	581	152	1555	1535	2608
540	216	794	581	152	1555	1535	2634
541	216	794	581	152	1555	1535	2659
542	217	794	581	152	1555	1534	2682
543	217	793	581	152	1555	1535	2702
544	217	793	581	152	1556	1535	2719
545	217	793	581	152	1556	1535	2735
546	217	793	581	153	1556	1534	2748
547	218	794	581	153	1555	1534	2760
548	218	793	581	153	1555	1534	2770
549	218	794	581	152	1555	1534	2781
550	218	794	581	152	1555	1534	2794
551	218	794	581	152	1556	1534	2810
552	218	794	581	152	1556	1534	2830
553	218	794	581	152	1556	1535	2855
554	218	795	581	152	1555	1534	2886
555	218	795	581	152	1555	1535	2919
556	218	795	581	152	1554	1535	2954
557	218	796	581	152	1555	1534	2988
558	218	796	581	152	1555	1534	3020
559	218	796	581	152	1555	1534	3050
560	218	796	581	152	1555	1534	3076
561	218	797	581	152	1555	1534	3100
562	218	797	581	153	1555	1534	3122
563	218	798	581	153	1555	1534	3145
564	218	798	581	153	1555	1534	3169
565	218	798	581	153	1555	1534	3196
566	218	798	581	153	1555	1534	3228
567	218	798	581	153	1555	1534	3267
568	218	799	581	153	1555	1534	3311
569	218	799	581	153	1554	1534	3364
570	218	799	581	153	1555	1534	3420
571	218	800	581	153	1555	1534	3479
572	217	800	581	153	1555	1534	3540
573	217	800	581	153	1555	1534	3597
574	217	800	581	153	1555	1534	3650
575	217	800	581	153	1555	1534	3694
576	217	800	581	153	1554	1534	3727
577	220	800	581	153	1554	1534	3749
578	219	800	581	153	1554	1534	3759
579	219	800	581	153	1555	1534	3759
580	219	800	581	153	1553	1534	3752
581	219	800	581	153	1553	1533	3739
582	219	801	581	153	1553	1533	3725
583	220	800	581	153	1554	1533	3711
584	223	800	581	153	1554	1533	3704
585	224	800	581	153	1555	1533	3707
586	225	800	581	153	1555	1533	3721
587	226	800	581	153	1555	1533	3747
588	227	799	581	153	1555	1534	3790
589	227	799	581	153	1555	1534	3847
590	227	798	581	152	1556	1534	3920
591	227	798	581	152	1555	1534	4004
592	228	798	581	152	1555	1534	4096
593	229	798	581	152	1555	1534	4191
594	229	798	581	152	1555	1534	4283
595	230	797	581	152	1556	1535	4370
596	230	797	581	152	1555	1534	4447
597	231	797	581	153	1555	1534	4512
598	231	796	581	153	1554	1534	4562
599	232	796	581	153	1555	1534	4596
600	232	796	581	152	1555	1535	4617
601	232	796	581	153	1555	1535	4625
602	232	795	581	152	1555	1534	4624
603	232	795	581	153	1555	1534	4615
604	232	795	581	152	1555	1534	4605
605	232	795	581	152	1555	1534	4597
606	232	794	581	152	1556	1534	4593
607	233	794	581	152	1555	1534	4597
608	233	794	581	152	1555	1534	4607
609	233	793	581	152	1555	1534	4626
610	233	793	581	152	1556	1534	4651
611	233	793	581	153	1555	1534	4680
612	233	793	581	153	1555	1534	4713
613	234	793	581	153	1555	1534	4750
614	234	793	581	153	1556	1534	4790
615	234	793	581	153	1555	1534	4833
616	234	793	581	153	1555	1534	4880
617	234	793	581	153	1555	1534	4931
618	234	793	581	153	1555	1534	4985
619	234	794	581	152	1555	1534	5041
620	234	794	581	152	1555	1534	5098
621	234	794	581	152	1555	1534	5155
622	234	795	581	152	1555	1535	5212
623	234	795	581	152	1555	1535	5268
624	234	795	581	152	1555	1534	5327
625	234	795	581	152	1555	1535	5389
626	233	796	581	152	1555	1535	5457
627	233	796	581	153	1555	1535	5531
628	233	796	581	152	1555	1535	5614
629	233	796	581	153	1555	1534	5707
630	233	796	581	153	1555	1534	5812
631	233	797	581	153	1555	1534	5930
632	233	797	581	153	1555	1534	6060
633	232	797	581	153	1555	1533	6200
634	232	798	581	153	1555	1533	6348
635	232	798	581	153	1554	1533	6497
636	232	798	581	153	1554	1533	6642
637	232	799	581	153	1555	1533	6779
638	235	798	581	153	1555	1534	6905
639	234	799	581	153	1555	1534	7019
640	235	800	581	153	1554	1534	7120
641	235	800	581	153	1554	1534	7215
642	235	800	581	153	1554	1534	7301
643	236	801	581	153	1555	1534	7383
644	236	801	581	153	1555	1534	7463
645	236	801	581	153	1554	1533	7545
646	237	801	581	153	1555	1533	7630
647	234	801	581	153	1556	1534	7722
648	235	801	581	153	1556	1534	7820
649	236	801	581	152	1556	1534	7923
650	239	801	581	153	1555	1534	8027
651	241	801	581	153	1555	1534	8126
652	242	800	580	153	1555	1534	8214
653	243	800	580	153	1555	1534	8289
654	243	800	580	153	1556	1534	8348
655	243	800	580	153	1556	1534	8390
656	243	800	580	153	1556	1534	8417
657	244	800	580	153	1555	1534	8429
658	245	800	580	152	1555	1534	8430
659	245	799	580	152	1555	1534	8423
660	246	799	581	152	1555	1534	8413
661	246	799	581	152	1555	1534	8407
662	247	798	581	153	1555	1534	8416
663	247	798	581	153	1555	1534	8448
664	248	798	581	153	1555	1534	8509
665	248	798	581	153	1555	1534	8604
666	248	797	581	153	1555	1534	8732
667	248	797	581	153	1555	1534	8894
668	249	797	581	153	1555	1534	9083
669	249	796	581	153	1555	1534	9295
670	249	796	581	153	1555	1534	9522
671	249	796	581	153	1556	1534	9754
672	249	796	581	152	1557	1535	9981
673	249	795	581	152	1556	1535	10193
674	249	795	581	152	1556	1535	10382
675	249	794	581	152	1555	1535	10542
676	249	794	581	152	1556	1535	10669
677	249	794	581	152	1555	1535	10761
678	249	794	581	152	1556	1535	10819
679	249	793	581	152	1556	1535	10843
680	249	793	581	152	1555	1534	10832
681	249	793	581	152	1555	1535	10788
682	249	793	581	152	1556	1535	10711
683	249	793	581	152	1556	1535	10603
684	249	793	581	152	1556	1535	10470
685	249	793	581	152	1555	1535	10319
686	249	793	581	152	1555	1535	10158
687	249	794	581	152	1556	1535	9998
688	249	794	581	152	1556	1535	9848
689	249	794	581	153	1555	1535	9718
690	249	794	581	153	1554	1534	9618
691	249	794	581	153	1555	1534	9555
692	249	795	581	153	1555	1534	9538
693	249	795	581	153	1555	1534	9571
694	249	795	581	153	1555	1534	9658
695	248	795	581	153	1555	1534	9799
696	248	795	581	153	1555	1534	9991
697	249	795	581	153	1555	1534	10231
698	249	795	581	153	1555	1534	10512
699	250	795	581	153	1555	1534	10829
700	249	796	581	153	1555	1534	11175
701	249	796	581	153	1555	1534	11542
702	250	797	581	153	1555	1534	11923
703	250	797	581	153	1555	1534	12311
704	250	798	581	153	1555	1534	12697
705	251	798	581	153	1555	1534	13069
706	251	798	581	153	1555	1534	13416
707	252	799	581	153	1555	1534	13729
708	251	799	581	153	1554	1534	13996
709	251	800	581	153	1554	1534	14213
710	251	800	581	153	1555	1534	14383
711	252	800	581	153	1555	1534	14508
712	253	801	581	153	1555	1534	14597
713	257	800	581	153	1555	1534	14659
714	258	800	581	153	1555	1534	14704
715	259	800	581	153	1555	1533	14741
716	259	800	581	153	1555	1534	14783
717	260	800	581	153	1555	1533	14843
718	260	800	581	153	1556	1533	14930
719	261	800	581	153	1555	1533	15053
720	262	800	581	152	1556	1534	15216
721	262	800	581	152	1557	1534	15422
722	263	800	581	152	1557	1534	15665
723	263	800	581	152	1555	1534	15934
