#  Sample no 3 : Stan1
#  Number of scans: 2992
#  B=	150 - -1	278 - -1	1375 - -1
#  P=	162 - 269	374 - 1370	1410 - 2942
# 
#t [s]	Oxid.tube C	Postcomb.tube C	Flow N<sub>2</sub> ml/min	Flow lance ml/min	Input mbar	Output mbar	IR detect. unit
0	59	793	581	151	1567	1544	0
1	59	793	581	151	1568	1545	1086
2	60	793	581	151	1567	1545	1089
3	60	793	581	151	1567	1545	1079
4	60	793	581	151	1566	1545	1071
5	60	793	581	151	1566	1545	1062
6	60	793	581	151	1566	1545	1053
7	61	794	581	151	1567	1545	1044
8	61	794	581	151	1567	1545	1034
9	61	794	581	151	1567	1545	1026
10	61	794	581	151	1567	1545	1017
11	61	795	581	151	1567	1546	1009
12	61	795	581	151	1568	1546	1000
13	61	795	581	151	1567	1546	1001
14	61	795	581	150	1567	1546	1001
15	61	795	581	150	1567	1546	1001
16	61	795	581	150	1567	1546	1001
17	61	796	580	151	1567	1546	1001
18	61	796	580	151	1567	1545	1002
19	61	796	580	151	1567	1545	1002
20	62	796	580	151	1567	1545	1002
21	62	797	580	151	1567	1545	1002
22	62	798	580	151	1566	1545	1003
23	62	798	580	151	1566	1545	1003
24	62	798	580	151	1566	1545	1005
25	62	798	580	151	1567	1546	1006
26	62	799	580	151	1567	1546	1006
27	62	799	580	151	1567	1546	1006
28	62	799	580	151	1567	1546	1005
29	62	800	580	151	1567	1546	1003
30	62	800	581	151	1567	1546	1003
31	62	800	581	151	1567	1546	1002
32	62	800	581	151	1567	1546	1002
33	62	800	581	151	1567	1545	1001
34	62	800	580	151	1567	1546	1000
35	62	800	580	151	1567	1545	1000
36	62	800	580	151	1567	1545	999
37	62	800	580	151	1567	1545	999
38	62	800	580	151	1567	1545	999
39	62	800	580	151	1567	1545	999
40	63	800	580	151	1567	1545	1000
41	63	800	581	151	1567	1545	1000
42	63	800	581	151	1567	1545	1000
43	63	800	581	151	1567	1545	1000
44	63	800	581	151	1566	1545	1001
45	63	800	581	151	1566	1545	1002
46	63	800	581	151	1567	1545	1002
47	63	799	581	151	1567	1545	1002
48	63	799	581	151	1567	1545	1003
49	63	799	581	151	1567	1545	1005
50	63	798	581	151	1567	1545	1006
51	63	798	581	151	1567	1545	1006
52	63	798	581	151	1567	1546	1007
53	64	798	581	151	1567	1546	1007
54	64	797	581	151	1567	1546	1008
55	64	797	581	151	1567	1546	1007
56	64	797	581	151	1567	1546	1007
57	64	796	581	151	1566	1546	1007
58	64	796	581	151	1566	1546	1007
59	64	796	581	151	1567	1546	1006
60	64	796	581	151	1567	1546	1006
61	64	795	581	151	1566	1545	1006
62	64	795	581	151	1566	1545	1006
63	64	795	581	151	1567	1545	1006
64	64	795	581	151	1567	1545	1006
65	64	794	581	151	1567	1545	1006
66	64	794	581	151	1567	1545	1007
67	64	793	581	151	1567	1545	1008
68	65	793	581	151	1567	1545	1008
69	64	793	581	151	1567	1545	1009
70	65	793	581	151	1567	1545	1009
71	65	793	581	151	1567	1545	1010
72	65	793	581	151	1567	1545	1010
73	65	793	581	151	1567	1545	1011
74	65	793	581	151	1567	1545	1011
75	65	793	581	151	1566	1545	1011
76	65	793	581	151	1566	1545	1011
77	65	794	581	151	1567	1545	1013
78	66	794	581	151	1567	1545	1011
79	65	794	581	151	1567	1545	1011
80	65	794	581	152	1562	1543	1011
81	66	794	581	156	1543	1537	1010
82	66	794	581	167	1494	1510	1008
83	66	795	581	183	1387	1455	1007
84	66	795	581	186	1236	1377	1007
85	65	795	581	181	1063	1280	1006
86	66	795	580	170	908	1166	1005
87	66	796	570	158	770	1036	1006
88	65	796	548	142	647	896	1006
89	66	796	517	121	539	757	1007
90	66	797	479	92	445	634	1007
91	65	797	434	67	364	526	1008
92	66	797	384	52	294	433	1009
93	66	798	329	44	234	352	1010
94	66	798	275	38	183	283	1011
95	66	798	228	33	141	224	1011
96	66	799	188	28	105	174	1011
97	66	799	153	24	77	133	1011
98	66	799	122	21	54	100	1010
99	66	800	96	17	37	73	1009
100	66	800	73	15	24	52	1008
101	66	800	54	12	14	35	1007
102	66	800	39	10	9	23	1006
103	66	800	27	8	4	14	1005
104	66	801	18	7	2	8	1002
105	66	800	12	6	0	4	1002
106	66	801	8	5	0	2	1001
107	66	801	5	4	0	0	1001
108	66	801	3	4	0	0	1001
109	66	801	2	3	0	0	1001
110	66	801	2	3	0	0	1002
111	66	800	1	2	6	0	1002
112	66	801	1	5	80	0	1003
113	66	801	1	69	148	0	1005
114	66	801	1	134	205	0	1006
115	66	800	1	198	192	0	1006
116	66	800	1	262	182	0	1007
117	66	800	1	327	175	0	1008
118	66	800	1	391	169	0	1008
119	66	800	1	456	165	0	1008
120	66	800	1	486	161	0	1008
121	66	799	1	486	158	0	1008
122	66	799	1	486	155	0	1007
123	66	799	1	486	153	0	1007
124	66	799	1	486	152	0	1007
125	67	798	1	486	151	0	1007
126	66	798	1	486	149	0	1007
127	67	798	1	486	149	0	1007
128	66	797	1	486	148	0	1008
129	66	797	1	486	147	0	1008
130	67	797	1	486	147	0	1008
131	67	796	1	486	146	0	1007
132	67	796	1	486	146	0	1007
133	67	796	1	486	146	0	1007
134	67	795	1	487	145	0	1006
135	66	796	1	487	145	0	1005
136	66	795	1	487	145	0	1005
137	66	795	1	487	144	0	1005
138	67	795	1	487	144	0	1005
139	66	794	1	487	144	0	1005
140	67	794	11	481	174	6	1006
141	67	794	60	472	296	54	1008
142	67	794	135	458	496	139	1009
143	67	794	213	441	728	252	1011
144	67	794	290	420	913	387	1013
145	67	793	367	395	1054	537	1015
146	67	793	445	368	1158	697	1021
147	67	793	518	340	1236	864	1045
148	67	793	565	315	1297	1013	1077
149	67	793	580	292	1346	1128	1108
150	67	793	581	272	1387	1214	1140
151	67	794	581	253	1420	1280	1171
152	70	793	581	237	1448	1331	1201
153	70	793	581	223	1472	1372	1217
154	70	794	581	212	1490	1404	1218
155	70	795	581	201	1505	1431	1218
156	69	795	581	192	1517	1454	1213
157	69	796	581	185	1528	1472	1191
158	69	796	581	178	1537	1487	1161
159	70	796	581	173	1543	1500	1134
160	72	797	581	169	1549	1509	1108
161	74	797	581	166	1553	1517	1083
162	80	796	581	162	1557	1524	1061
163	81	796	581	160	1561	1529	1054
164	84	797	581	158	1563	1533	1061
165	87	797	581	156	1565	1537	1069
166	87	798	581	155	1567	1540	1077
167	88	798	581	154	1568	1542	1083
168	90	798	581	153	1568	1544	1087
169	91	799	581	152	1568	1545	1089
170	93	799	581	151	1570	1546	1089
171	94	800	581	151	1570	1547	1088
172	95	800	581	151	1570	1548	1085
173	96	800	581	150	1570	1548	1081
174	98	800	581	150	1572	1549	1077
175	99	800	581	149	1572	1550	1073
176	101	800	581	149	1572	1550	1070
177	101	800	581	149	1572	1550	1068
178	102	800	581	149	1572	1550	1067
179	104	800	581	149	1572	1551	1067
180	105	800	581	149	1572	1551	1067
181	106	800	581	149	1572	1551	1068
182	106	800	581	149	1572	1551	1070
183	107	800	581	149	1572	1551	1072
184	108	800	581	149	1571	1551	1074
185	109	800	581	149	1571	1550	1077
186	110	800	581	150	1571	1550	1081
187	111	800	581	150	1571	1550	1085
188	112	800	581	150	1570	1550	1090
189	112	800	581	150	1571	1550	1095
190	112	800	581	150	1572	1550	1101
191	113	799	581	150	1571	1550	1108
192	114	799	581	150	1571	1550	1115
193	114	799	581	150	1570	1550	1124
194	115	798	581	150	1570	1550	1134
195	116	798	581	150	1570	1550	1144
196	117	798	581	150	1570	1550	1154
197	117	798	581	150	1570	1550	1164
198	117	797	581	150	1570	1550	1175
199	118	797	581	150	1570	1550	1185
200	118	797	581	150	1570	1550	1194
201	119	796	581	150	1570	1549	1204
202	119	796	581	150	1570	1549	1215
203	120	796	581	150	1570	1549	1225
204	120	795	581	150	1570	1549	1236
205	121	795	581	150	1569	1549	1248
206	121	795	581	150	1569	1549	1261
207	121	795	581	150	1570	1549	1274
208	122	794	581	150	1570	1548	1288
209	122	794	581	150	1569	1548	1303
210	123	793	581	150	1568	1548	1320
211	123	793	581	150	1568	1548	1337
212	123	793	581	150	1569	1548	1355
213	123	793	581	151	1568	1548	1373
214	123	793	581	151	1569	1548	1390
215	123	793	581	151	1569	1548	1407
216	125	793	581	151	1569	1548	1424
217	124	794	581	151	1568	1548	1439
218	125	794	581	151	1568	1548	1453
219	125	794	581	151	1568	1548	1465
220	125	794	581	151	1568	1548	1476
221	125	794	581	151	1569	1548	1484
222	126	794	581	151	1569	1548	1492
223	126	795	581	151	1569	1548	1497
224	126	795	581	151	1568	1548	1502
225	126	795	581	151	1568	1548	1505
226	126	795	581	151	1568	1548	1509
227	126	795	581	151	1568	1548	1511
228	127	795	581	151	1568	1547	1513
229	127	795	581	151	1568	1547	1515
230	127	796	581	151	1568	1547	1516
231	127	796	581	151	1568	1547	1518
232	127	796	581	151	1568	1547	1518
233	127	797	581	151	1568	1547	1518
234	127	797	581	151	1568	1547	1518
235	127	798	581	151	1568	1548	1517
236	128	798	581	151	1569	1548	1516
237	128	798	581	151	1569	1548	1515
238	128	799	581	151	1568	1548	1515
239	128	799	581	151	1568	1548	1512
240	128	799	581	151	1568	1548	1511
241	128	800	581	151	1568	1548	1509
242	128	800	581	151	1568	1548	1506
243	128	800	581	151	1568	1547	1506
244	128	800	581	151	1568	1547	1500
245	128	800	581	151	1568	1547	1498
246	128	800	581	151	1568	1547	1496
247	128	800	581	151	1568	1547	1494
248	128	800	581	151	1569	1548	1494
249	128	800	581	151	1569	1548	1494
250	128	800	581	151	1568	1548	1495
251	128	800	581	151	1568	1548	1497
252	128	800	581	151	1568	1548	1500
253	128	800	581	151	1568	1548	1504
254	128	800	581	151	1568	1548	1508
255	128	800	581	151	1569	1548	1514
256	128	800	581	151	1569	1548	1519
257	128	800	581	151	1568	1548	1523
258	128	800	581	151	1568	1548	1528
259	128	799	581	151	1568	1548	1532
260	128	799	581	151	1568	1548	1535
261	128	799	581	151	1568	1548	1537
262	128	798	581	152	1568	1548	1539
263	128	798	581	152	1568	1548	1540
264	128	798	581	152	1568	1548	1539
265	128	798	581	152	1568	1548	1538
266	127	797	581	151	1568	1548	1537
267	128	797	581	151	1568	1548	1536
268	127	796	581	151	1568	1547	1535
269	128	796	581	151	1567	1547	1534
270	127	796	581	151	1567	1547	1534
271	128	796	581	151	1568	1547	1535
272	128	796	581	151	1568	1547	1537
273	127	795	581	152	1568	1547	1539
274	127	795	581	152	1568	1547	1541
275	127	795	581	151	1568	1548	1544
276	127	794	581	151	1568	1548	1546
277	127	794	581	151	1568	1548	1547
278	127	794	581	151	1568	1548	1548
279	123	794	581	151	1568	1548	1549
280	124	794	581	151	1568	1548	1549
281	126	794	581	151	1568	1548	1548
282	127	793	581	151	1568	1548	1547
283	129	793	581	151	1569	1548	1545
284	130	793	581	151	1568	1548	1543
285	130	792	581	151	1568	1548	1541
286	131	793	581	151	1568	1548	1537
287	132	793	581	151	1568	1548	1534
288	132	793	581	151	1568	1548	1530
289	133	794	581	151	1568	1548	1526
290	134	793	581	151	1568	1548	1522
291	134	794	581	151	1568	1548	1517
292	134	794	581	151	1568	1548	1512
293	134	795	581	151	1568	1548	1507
294	135	795	581	151	1568	1548	1503
295	135	795	581	151	1568	1548	1498
296	136	795	581	151	1568	1548	1493
297	136	795	581	151	1568	1548	1489
298	137	796	581	151	1569	1548	1485
299	137	796	581	151	1568	1548	1481
300	137	796	581	151	1569	1548	1476
301	137	796	581	151	1568	1548	1473
302	138	796	581	151	1569	1548	1469
303	138	796	581	151	1569	1548	1466
304	138	796	581	151	1569	1548	1462
305	139	797	581	151	1569	1548	1459
306	139	797	581	151	1568	1548	1456
307	139	798	581	151	1568	1548	1453
308	139	798	581	151	1568	1548	1450
309	139	798	581	151	1569	1548	1448
310	139	799	581	151	1569	1548	1446
311	139	799	581	151	1568	1548	1445
312	139	800	581	151	1568	1548	1444
313	139	800	580	151	1568	1548	1443
314	140	801	580	151	1568	1548	1441
315	140	800	580	151	1568	1548	1440
316	140	800	580	151	1569	1548	1440
317	140	801	580	151	1568	1548	1438
318	140	801	580	151	1568	1548	1434
319	140	801	580	151	1568	1548	1431
320	140	801	581	151	1568	1548	1427
321	141	801	581	151	1568	1548	1423
322	141	801	581	151	1568	1548	1418
323	141	801	581	151	1568	1548	1414
