#  Sample no 7 : Stan5
#  Number of scans: 2989
#  B=	150 - -1	274 - -1	1356 - -1
#  P=	163 - 269	320 - 1336	1845 - 2956
# 
#t [s]	Oxid.tube C	Postcomb.tube C	Flow N<sub>2</sub> ml/min	Flow lance ml/min	Input mbar	Output mbar	IR detect. unit
167	85	793	581	154	1553	1528	1056
168	88	793	581	153	1555	1530	1060
169	89	793	581	152	1555	1531	1062
170	90	793	581	152	1557	1533	1063
171	91	793	581	151	1557	1534	1063
172	92	793	581	151	1557	1535	1061
173	94	793	581	150	1558	1535	1057
174	94	794	581	150	1558	1536	1054
175	94	794	581	150	1559	1537	1051
176	95	795	581	150	1559	1537	1048
177	100	794	581	149	1559	1538	1046
178	101	794	581	149	1560	1538	1046
179	102	794	581	149	1560	1538	1046
180	104	795	581	149	1560	1538	1048
181	105	795	581	149	1560	1538	1050
182	106	795	581	149	1560	1538	1053
183	107	795	581	149	1560	1538	1057
184	108	795	581	149	1560	1538	1061
185	110	796	581	149	1560	1538	1066
186	111	796	581	149	1559	1538	1072
187	112	796	581	149	1560	1538	1078
188	112	796	581	149	1559	1538	1084
189	113	797	581	149	1559	1538	1091
190	114	797	581	149	1559	1538	1098
191	115	798	581	149	1559	1538	1105
192	116	798	581	149	1559	1538	1111
193	117	798	581	149	1559	1538	1117
194	117	799	581	149	1559	1538	1124
195	118	799	581	149	1558	1538	1131
196	119	800	581	149	1558	1538	1138
197	119	800	581	149	1558	1538	1146
198	120	800	581	149	1558	1538	1154
199	121	800	581	149	1558	1538	1162
200	121	800	581	149	1558	1538	1171
201	122	800	581	149	1558	1538	1180
202	123	800	581	149	1558	1538	1190
203	123	801	581	149	1558	1538	1201
204	123	800	581	149	1558	1538	1212
205	123	800	581	149	1558	1538	1225
206	124	801	581	149	1558	1538	1238
207	125	801	581	149	1558	1538	1252
208	126	800	581	149	1558	1537	1266
209	126	800	581	150	1558	1537	1282
210	127	800	581	150	1558	1537	1299
211	127	800	581	150	1558	1537	1316
212	127	800	581	150	1557	1537	1334
213	128	800	581	150	1557	1537	1351
214	128	800	581	150	1557	1537	1369
215	128	800	581	150	1557	1537	1386
216	128	799	581	150	1557	1537	1403
217	128	799	581	150	1557	1537	1420
218	129	799	581	150	1557	1536	1436
219	129	798	581	150	1557	1536	1450
220	129	798	581	150	1557	1536	1464
221	130	798	581	150	1557	1536	1477
222	130	798	581	150	1557	1535	1490
223	130	797	581	150	1557	1535	1501
224	130	797	581	150	1557	1535	1512
225	131	797	581	150	1557	1535	1522
226	131	796	581	150	1557	1535	1531
227	131	796	581	150	1557	1535	1539
228	131	796	581	150	1557	1536	1546
229	131	795	581	150	1557	1536	1553
230	132	795	581	150	1557	1536	1559
231	132	795	581	150	1556	1535	1564
232	132	795	581	150	1556	1535	1569
233	132	794	581	150	1556	1535	1572
234	132	794	581	150	1555	1535	1574
235	133	794	581	150	1555	1535	1574
236	133	794	581	150	1556	1535	1573
237	133	794	581	150	1556	1535	1569
238	134	793	581	150	1557	1535	1563
239	132	793	581	150	1556	1535	1557
240	134	793	581	150	1557	1535	1550
241	134	793	581	150	1556	1535	1543
242	134	793	581	150	1557	1535	1535
243	134	793	581	150	1557	1535	1528
244	134	793	581	150	1557	1535	1522
245	134	793	581	150	1557	1535	1517
246	134	793	581	150	1556	1535	1513
247	134	794	581	151	1556	1535	1512
248	134	794	581	151	1556	1535	1511
249	134	794	581	151	1556	1535	1512
250	134	794	581	151	1556	1535	1514
251	134	795	581	151	1557	1535	1516
252	134	795	581	151	1556	1535	1519
253	134	795	581	151	1556	1535	1522
254	134	796	581	151	1555	1535	1525
255	134	796	581	151	1556	1535	1526
256	134	796	581	151	1555	1534	1528
257	134	797	581	151	1555	1534	1529
258	134	797	581	151	1555	1534	1528
259	134	797	581	151	1556	1534	1527
260	134	798	581	151	1556	1534	1525
261	134	798	581	151	1556	1534	1523
262	134	798	581	151	1556	1534	1521
263	134	798	581	151	1556	1534	1518
264	134	798	581	151	1556	1535	1516
265	134	799	581	151	1556	1535	1514
266	134	799	581	151	1555	1534	1511
267	134	800	581	151	1556	1534	1508
268	134	800	581	151	1556	1534	1506
269	134	800	581	151	1556	1534	1504
270	134	800	581	151	1556	1534	1501
271	134	800	581	151	1555	1534	1499
272	134	800	581	151	1555	1534	1497
273	134	800	581	151	1555	1534	1494
274	134	800	581	151	1555	1534	1492
275	135	800	581	151	1555	1534	1490
276	135	800	581	151	1555	1535	1489
277	135	800	581	151	1555	1535	1489
278	135	800	581	151	1556	1535	1490
279	135	800	581	151	1556	1535	1490
280	135	800	581	151	1556	1535	1492
281	136	800	581	151	1555	1535	1492
282	137	800	581	151	1555	1535	1492
283	139	800	581	151	1555	1535	1491
284	140	800	581	151	1557	1534	1491
285	145	799	581	151	1557	1535	1491
286	146	799	581	151	1557	1535	1490
287	147	798	581	151	1557	1535	1489
288	148	798	581	150	1557	1535	1488
289	150	798	581	150	1557	1536	1487
290	150	798	581	150	1557	1536	1486
291	151	797	581	150	1558	1537	1484
292	152	797	581	150	1558	1536	1482
293	153	796	581	150	1558	1536	1480
294	154	796	581	150	1557	1537	1478
295	155	796	581	150	1558	1537	1476
296	155	796	581	150	1557	1536	1474
297	156	795	581	150	1557	1537	1473
298	157	795	581	150	1557	1537	1471
299	158	795	581	150	1557	1537	1469
300	159	795	581	150	1557	1537	1469
301	160	795	581	150	1557	1537	1469
302	160	795	581	150	1558	1537	1469
303	161	795	581	150	1558	1537	1470
304	161	795	581	150	1558	1537	1471
305	161	795	581	150	1557	1537	1470
306	162	795	581	150	1557	1537	1468
307	163	795	581	150	1557	1537	1467
308	163	794	581	150	1558	1537	1465
309	164	795	581	150	1558	1537	1462
