Sample Name,Sample Name Old,LowT,HighT,Frac_No,PK,RT,Pksize,Area Pct,Compound,PM,C,H,O,N-Bearing,m/z,Origin,E_mean,E_std,E_lower,E_upper
AN Sierra,AN Sierra,390,495,4,16,6.43,0.74,1.10934693306086,C12,170,12,26,,,"57, 170",Aromatic,165.7577982,8.302134045,156.9065972,177.7432768
AN Sierra,AN Sierra,390,495,4,17,6.53,1.27,1.88788565743105,Naphthalene,128,10,8,,,128,PAH,165.7577982,8.302134045,156.9065972,177.7432768
AN Sierra,AN Sierra,390,495,4,18,7.34,0.59,0.882800654169137,Indene-C2,144,11,12,,,"129, 144",Aromatic,165.7577982,8.302134045,156.9065972,177.7432768
AN Sierra,AN Sierra,390,495,4,19,7.43,0.74,1.10383594534292,Indene-C2,144,11,12,,,"129, 144",Aromatic,165.7577982,8.302134045,156.9065972,177.7432768
AN Sierra,AN Sierra,390,495,4,20,7.66,0.97,1.44819820490746,Indanone,132,9,8,1,,"78, 104, 132",Aromatic,165.7577982,8.302134045,156.9065972,177.7432768
AN Sierra,AN Sierra,390,495,4,21,7.88,0.93,1.38921574176405,"Naphthalene, x-methyl- (Naph-C1)",142,11,10,,,"115, 142",PAH,165.7577982,8.302134045,156.9065972,177.7432768
AN Sierra,AN Sierra,390,495,4,22,8.1,0.8,1.18739443479608,Naph-C1,142,11,10,,,"115, 142",PAH,165.7577982,8.302134045,156.9065972,177.7432768
AN Sierra,AN Sierra,390,495,4,23,8.88,0.93,1.3841515908881,C14,198,14,30,,,"57, 198",Alkane,165.7577982,8.302134045,156.9065972,177.7432768
AN Sierra,AN Sierra,390,495,4,24,8.97,0.87,1.28957112599905,Indole-C1 ,131,9,9,,1,"77, 103, 130",N-Bearing,165.7577982,8.302134045,156.9065972,177.7432768
AN Sierra,AN Sierra,390,495,4,25,9.23,0.75,1.11679421376079,"Naphthalene, x,x-dimethyl- (Naph-C2)",156,12,12,,,"141, 156",PAH,165.7577982,8.302134045,156.9065972,177.7432768
AN Sierra,AN Sierra,390,495,4,26,9.42,1.29,1.92437733286068,Naph-C2,156,12,12,,,"141, 156",PAH,165.7577982,8.302134045,156.9065972,177.7432768
AN Sierra,AN Sierra,390,495,4,27,9.66,1.09,1.62544348556568,Naph-C2,156,12,12,,,"141, 156",PAH,165.7577982,8.302134045,156.9065972,177.7432768
AN Sierra,AN Sierra,390,495,4,28,9.87,0.98,1.46264592946532,Naph-C2,156,12,12,,,"141, 156",PAH,165.7577982,8.302134045,156.9065972,177.7432768
AN Sierra,AN Sierra,390,495,4,29,10.1,0.44,0.657892777031395,C15:1,210,15,30,,,"55, 210",Alkane,165.7577982,8.302134045,156.9065972,177.7432768
AN Sierra,AN Sierra,390,495,4,30,10.18,1.32,1.96578421355227,C15,212,15,32,,,"57, 212",Alkane,165.7577982,8.302134045,156.9065972,177.7432768
AN Sierra,AN Sierra,390,495,4,31,11.27,0.44,0.658190668259392,C16:1,226,16,34,,,"57, 226",Alkane,165.7577982,8.302134045,156.9065972,177.7432768
AN Sierra,AN Sierra,390,495,4,32,11.4,1.07,1.59520752592399,Fluorene,166,13,10,,,"82, 166",PAH,165.7577982,8.302134045,156.9065972,177.7432768
AN Sierra,AN Sierra,390,495,4,33,12.4,0.37,0.546928294602509,C17:1,238,17,34,,,"55, 238",Alkane,165.7577982,8.302134045,156.9065972,177.7432768
AN Sierra,AN Sierra,390,495,4,34,12.47,0.4,0.595484564766022,C17,240,17,36,,,"57, 240",Alkane,165.7577982,8.302134045,156.9065972,177.7432768
AN Sierra,AN Sierra,390,495,4,35,12.68,0.7,1.04693872079549,Fluorene-C1,180,14,12,,,"165, 180",PAH,165.7577982,8.302134045,156.9065972,177.7432768
AN Sierra,AN Sierra,390,495,4,36,12.79,0.46,0.678596217377187,Fluorene-C1,180,14,12,,,"165, 180",PAH,165.7577982,8.302134045,156.9065972,177.7432768
AN Sierra,AN Sierra,390,495,4,37,13.48,0.39,0.574334287578234,C18:1,252,18,36,,,"55, 252",Alkane,165.7577982,8.302134045,156.9065972,177.7432768
AN Sierra,AN Sierra,390,495,4,38,13.55,0.31,0.462625077079356,C18,254,18,38,,,"57, 254",Alkane,165.7577982,8.302134045,156.9065972,177.7432768
AN Sierra,AN Sierra,390,495,4,39,13.62,0.43,0.642700324403548,Anthracene/Phenanthrene,178,14,10,,,"82, 166",PAH,165.7577982,8.302134045,156.9065972,177.7432768
AN Sierra,AN Sierra,390,495,4,40,13.74,0.23,0.344213313950544,Anthracene/Phenanthrene,178,14,10,,,"82, 166",PAH,165.7577982,8.302134045,156.9065972,177.7432768
AN Sierra,AN Sierra,390,495,4,41,14.51,0.81,1.20467212601991,Bz-C12,246,18,30,,,"91, 92, 146",Aromatic,165.7577982,8.302134045,156.9065972,177.7432768
AN Sierra,AN Sierra,390,495,4,42,14.57,0.28,0.411834622705866,C19:1,266,19,38,,,"55, 266",Alkane,165.7577982,8.302134045,156.9065972,177.7432768
AN Sierra,AN Sierra,390,495,4,43,14.61,0.52,0.771538280512254,C19,268,19,40,,,"57, 268",Alkane,165.7577982,8.302134045,156.9065972,177.7432768
AN Sierra,AN Sierra,390,495,4,44,15.5,0.69,1.02370320501172,C20:1,280,20,40,,,"55, 280",Alkane,165.7577982,8.302134045,156.9065972,177.7432768
AN Sierra,AN Sierra,390,495,4,45,15.55,0.57,0.843776903301529,C20,282,20,42,,,"57, 282",Alkane,165.7577982,8.302134045,156.9065972,177.7432768
AN Sierra,AN Sierra,390,495,4,46,16.43,0.33,0.488392668301097,C21:1,294,21,42,,,"55, 294",Alkane,165.7577982,8.302134045,156.9065972,177.7432768
AN Sierra,AN Sierra,390,495,4,47,16.49,0.61,0.907525626092889,C21,296,21,44,,,"57, 296",Alkane,165.7577982,8.302134045,156.9065972,177.7432768
AN Sierra,AN Sierra,390,495,4,48,17.38,0.56,0.83767013312759,C22,310,22,46,,,"57, 310",Alkane,165.7577982,8.302134045,156.9065972,177.7432768
AN Sierra,AN Sierra,390,495,4,49,18.24,0.35,0.521309648994766,C23,324,23,48,,,"57, 324",Alkane,165.7577982,8.302134045,156.9065972,177.7432768
AN Sierra,AN Sierra,390,495,4,50,19.07,0.17,0.250675468359483,C24,338,24,50,,,"57, 338",Alkane,165.7577982,8.302134045,156.9065972,177.7432768
AN Sierra,AN Sierra,390,495,4,51,19.91,0.12,0.173372694694259,C25,352,25,52,,,"57, 352",Alkane,165.7577982,8.302134045,156.9065972,177.7432768
AN Sierra,AN Sierra,390,495,4,52,20.62,0.08,0.114837068392847,C26,366,26,54,,,"57, 366",Alkane,165.7577982,8.302134045,156.9065972,177.7432768
AN Sierra,AN Sierra,390,495,4,53,21.36,0.04,0.0661318526153361,C27,380,27,56,,,"57, 380",Alkane,165.7577982,8.302134045,156.9065972,177.7432768
AN Sierra,AN Sierra,495,800,5,1,2.09,1.05,1.16591098362173,"1,3-Cyclohexadiene",80,6,8,,,"51, 79, 80",Alkane,189.7287554,11.35789858,177.7432768,201.086654
AN Sierra,AN Sierra,495,800,5,2,2.17,16.17,18.0320430421603,Benzene,78,6,6,,,78,Aromatic,189.7287554,11.35789858,177.7432768,201.086654
AN Sierra,AN Sierra,495,800,5,3,2.49,4.41,4.91660358469131,Pyridine,79,5,5,,1,"52, 79",N-Bearing,189.7287554,11.35789858,177.7432768,201.086654
AN Sierra,AN Sierra,495,800,5,4,2.61,10.93,12.1813059585432,Methylbenzene (Bz-C1),92,7,8,,,91,Aromatic,189.7287554,11.35789858,177.7432768,201.086654
AN Sierra,AN Sierra,495,800,5,5,2.88,1.3,1.44596150866072,"Pyridine, 2-methyl-",93,6,7,,1,"66, 78, 93",N-Bearing,189.7287554,11.35789858,177.7432768,201.086654
AN Sierra,AN Sierra,495,800,5,6,2.99,0.54,0.602688351258276,"1H-Pyrrole, 2-methyl-",81,5,7,,1,"53, 80",N-Bearing,189.7287554,11.35789858,177.7432768,201.086654
AN Sierra,AN Sierra,495,800,5,7,3.05,0.34,0.374812844419224,"1H-Pyrrole, 3-methyl-",81,5,7,,1,"53, 80",N-Bearing,189.7287554,11.35789858,177.7432768,201.086654
AN Sierra,AN Sierra,495,800,5,8,3.19,1.8,2.00282949137161,Benzenamine,93,6,7,,1,"66, 93",N-Bearing,189.7287554,11.35789858,177.7432768,201.086654
AN Sierra,AN Sierra,495,800,5,9,3.25,2.27,2.52692086008511,p-Xylene (Bz-C2),106,8,10,,,"91, 106",Aromatic,189.7287554,11.35789858,177.7432768,201.086654
AN Sierra,AN Sierra,495,800,5,10,3.41,1.45,1.61831744485112,Styrene,104,8,8,,,"51, 78, 104",Aromatic,189.7287554,11.35789858,177.7432768,201.086654
AN Sierra,AN Sierra,495,800,5,11,3.44,0.93,1.03881799057059,Bz-C2,106,8,10,,,"91, 106",Aromatic,189.7287554,11.35789858,177.7432768,201.086654
AN Sierra,AN Sierra,495,800,5,12,4.09,5.19,5.78830543790783,Phenol,94,6,6,1,,"66, 94",Aromatic,189.7287554,11.35789858,177.7432768,201.086654
AN Sierra,AN Sierra,495,800,5,13,4.23,4.28,4.77624386692695,Benzonitrile,103,7,5,,1,"76, 103",N-Bearing,189.7287554,11.35789858,177.7432768,201.086654
AN Sierra,AN Sierra,495,800,5,14,4.37,1.05,1.16713731951959,Benzofuran,118,8,6,1,,"63, 90, 118",Aromatic,189.7287554,11.35789858,177.7432768,201.086654
AN Sierra,AN Sierra,495,800,5,15,4.88,3.55,3.95281505405354,Indene,116,9,8,,,"89, 116",Aromatic,189.7287554,11.35789858,177.7432768,201.086654
AN Sierra,AN Sierra,495,800,5,16,5.06,1.5,1.66982355256131,Phenol-C1,108,7,8,1,,"79, 108",Aromatic,189.7287554,11.35789858,177.7432768,201.086654
AN Sierra,AN Sierra,495,800,5,17,5.1,1.34,1.49155890704485,Benzonitrile-C1,117,8,7,,1,"63, 90, 117",N-Bearing,189.7287554,11.35789858,177.7432768,201.086654
AN Sierra,AN Sierra,495,800,5,18,5.33,0.74,0.820753170914434,Benzonitrile-C1,117,8,7,,1,"63, 90, 117",N-Bearing,189.7287554,11.35789858,177.7432768,201.086654
AN Sierra,AN Sierra,495,800,5,19,5.56,0.51,0.563780057771569,"Benzofuran, 2-methyl-",132,9,8,1,,"77, 103, 132",Aromatic,189.7287554,11.35789858,177.7432768,201.086654
AN Sierra,AN Sierra,495,800,5,20,6.06,0.96,1.07226351505773,Indene-C1,130,10,10,,,"115, 130",Aromatic,189.7287554,11.35789858,177.7432768,201.086654
AN Sierra,AN Sierra,495,800,5,21,6.16,1.61,1.79981515773467,Azulene,128,10,8,,,"102, 128",PAH,189.7287554,11.35789858,177.7432768,201.086654
AN Sierra,AN Sierra,495,800,5,22,6.51,7.19,8.017672615139,Naphthalene,128,10,8,,,128,PAH,189.7287554,11.35789858,177.7432768,201.086654
AN Sierra,AN Sierra,495,800,5,23,7.16,0.93,1.03469304255051,Quinoline,129,9,7,,1,"102, 129",N-Bearing,189.7287554,11.35789858,177.7432768,201.086654
AN Sierra,AN Sierra,495,800,5,24,7.87,3.44,3.83441789736906,Naph-C1,142,11,10,,,"115, 142",PAH,189.7287554,11.35789858,177.7432768,201.086654
AN Sierra,AN Sierra,495,800,5,25,8.09,1.79,1.99747820745367,"Naphthalene, 1-methyl-",142,11,10,,,"115, 142",PAH,189.7287554,11.35789858,177.7432768,201.086654
AN Sierra,AN Sierra,495,800,5,26,8.89,1.02,1.13703634748116,Biphenyl,154,12,10,,,"76, 154",PAH,189.7287554,11.35789858,177.7432768,201.086654
AN Sierra,AN Sierra,495,800,5,27,9.23,0.59,0.66144098927402,Naph-C2,156,12,12,,,"141, 156",PAH,189.7287554,11.35789858,177.7432768,201.086654
AN Sierra,AN Sierra,495,800,5,28,9.42,0.57,0.63535348017405,Naph-C2,156,12,12,,,"141, 156",PAH,189.7287554,11.35789858,177.7432768,201.086654
AN Sierra,AN Sierra,495,800,5,29,9.82,0.57,0.630448136582603,Biphenylene,152,12,8,,,152,PAH,189.7287554,11.35789858,177.7432768,201.086654
AN Sierra,AN Sierra,495,800,5,30,10.61,1.33,1.48152524969871,Dibenzofuran,168,12,8,1,,"139, 168",PAH,189.7287554,11.35789858,177.7432768,201.086654
AN Sierra,AN Sierra,495,800,5,31,11.4,2.12,2.36281481993487,Fluorene,166,13,10,,,"82, 166",PAH,189.7287554,11.35789858,177.7432768,201.086654
AN Sierra,AN Sierra,495,800,5,32,11.83,0.42,0.467233977085356,Dibenzofuran-C1,182,13,10,1,,"152, 182",PAH,189.7287554,11.35789858,177.7432768,201.086654
AN Sierra,AN Sierra,495,800,5,33,11.9,0.31,0.344042961891054,Dibenzofuran-C1,182,13,10,1,,"152, 182",PAH,189.7287554,11.35789858,177.7432768,201.086654
AN Sierra,AN Sierra,495,800,5,34,12.71,0.67,0.746504106552981,Fluorene-C1,180,12,12,,,"165, 180",PAH,189.7287554,11.35789858,177.7432768,201.086654
AN Sierra,AN Sierra,495,800,5,35,12.79,0.34,0.382282344888019,Fluorene-C1,180,12,12,,,"165, 180",PAH,189.7287554,11.35789858,177.7432768,201.086654
AN Sierra,AN Sierra,495,800,5,36,13.63,2.35,2.62458179158756,Anthracene,178,14,10,,,"89, 178",PAH,189.7287554,11.35789858,177.7432768,201.086654
AN Sierra,AN Sierra,495,800,5,37,13.73,1.28,1.43191438837612,Phenanthrene,178,14,10,,,"89, 178",PAH,189.7287554,11.35789858,177.7432768,201.086654
AN Sierra,AN Sierra,495,800,5,38,14.81,0.27,0.304354272832981,Anth/Phen_C1,192,15,12,,,"165, 192",PAH,189.7287554,11.35789858,177.7432768,201.086654
AN Sierra,AN Sierra,495,800,5,39,14.87,0.33,0.369573045582905,Anth/Phen_C1,192,15,12,,,"165, 192",PAH,189.7287554,11.35789858,177.7432768,201.086654
AN Sierra,AN Sierra,495,800,5,40,14.97,0.37,0.416954205273021,Anth/Phen_C1,192,15,12,,,"165, 192",PAH,189.7287554,11.35789858,177.7432768,201.086654
AN Sierra,AN Sierra,495,800,5,41,15.07,0.38,0.427991228353778,Anth/Phen_C1,192,15,12,,,"165, 192",PAH,189.7287554,11.35789858,177.7432768,201.086654
AN Sierra,AN Sierra,495,800,5,42,16.47,0.59,0.654528914213344,Fluoranthene,202,16,10,,,"101, 202",PAH,189.7287554,11.35789858,177.7432768,201.086654
AN Sierra,AN Sierra,495,800,5,43,16.98,0.92,1.02844987797958,Pyrene,202,16,10,,,"101, 202",PAH,189.7287554,11.35789858,177.7432768,201.086654
AN Sierra,AN Sierra,400,400,,1,2.00,1.64,58.80,Methylfuran,82,5,6,1,,"53, 82",PS,,,,
AN Sierra,AN Sierra,400,400,,2,2.25,8.19,293.71,Acetic acid,60,2,4,2,,60,FA,,,,
AN Sierra,AN Sierra,400,400,,3,2.51,2.13,76.46,Pyridine,79,5,5,,1,"52, 79",N,,,,
AN Sierra,AN Sierra,400,400,,4,2.61,0.68,24.51,"Hexane, 2-methyl-4-methylene-",112,8,16,,,"70, 112",ALK,,,,
AN Sierra,AN Sierra,400,400,,5,2.83,1.56,56.09,"Pyrazole, 1,4-dimethyl-",96,5,8,,2,"95, 96",N,,,,
AN Sierra,AN Sierra,400,400,,6,2.97,21.06,755.01,Furfural,96,5,4,2,,96,PS,,,,
AN Sierra,AN Sierra,400,400,,7,3.56,2.39,85.72,2-Acetylfuran,110,6,6,2,,"95, 110",PS,,,,
AN Sierra,AN Sierra,400,400,,8,4.00,6.96,249.47,"2-Furancarboxaldehyde, 5-methyl-",110,6,6,2,,"81, 110",PS,,,,
AN Sierra,AN Sierra,400,400,,9,4.83,2.64,94.77,Benzeneacetaldehyde,120,8,8,1,,"65, 91, 120",ARO,,,,
AN Sierra,AN Sierra,400,400,,10,5.57,2.52,90.33,Levoglucosenone,126,6,6,3,,"68, 98, 126",PS,,,,
AN Sierra,AN Sierra,400,400,,11,7.86,2.19,78.52,Octyl methacrylate,198,12,22,2,,"70, 112, 169",FA,,,,
AN Sierra,AN Sierra,400,400,,12,11.28,0.95,33.95,1-Hexadecene (C16:1),224,16,32,,,"55, 224",ALK,,,,
AN Sierra,AN Sierra,400,400,,13,12.97,1.94,69.65,Isobutyl laurate,256,16,32,2,,"56, 183, 201, 256",FA,,,,
AN Sierra,AN Sierra,400,400,,14,14.67,2.09,75.06,C14 Alkylfuran,264,18,32,1,,"81, 95, 264",,,,,
AN Sierra,AN Sierra,400,400,,15,16.55,16.83,603.30,Fatty acid alkyl ester,,,,,,,FA,,,,
AN Sierra,AN Sierra,400,400,,16,17.41,3.52,126.15,C22,310,22,46,,,"57, 310",ALK,,,,
AN Sierra,AN Sierra,400,400,,17,18.30,7.32,262.51,Fatty acid alkyl ester,,,,,,,FA,,,,
AN Sierra,AN Sierra,400,400,,18,19.92,5.66,202.77,Fatty acid alkyl ester,,,,,,,FA,,,,
AN Sierra,AN Sierra,400,400,,19,21.26,7.86,281.58,Oleic acid,282,18,34,2,,"55, 264, 182",FA,,,,
AN Sierra,AN Sierra,400,400,,20,21.43,1.42,50.90,Fatty acid alkyl ester,,,,,,,FA,,,,
GR Sierra,GR Sierra,140,245,1,1,2.75,8.46,8.46,Hexane (C6),86,6,14,,,"57, 86",CONT,120.1631738,9.942822488,110.2203513,125.7741359
GR Sierra,GR Sierra,140,245,1,2,16.58,46.95,46.95,Fatty acid alkyl ester,,,,,,,Lipid,120.1631738,9.942822488,110.2203513,125.7741359
GR Sierra,GR Sierra,140,245,1,3,18.33,18.9,18.9,Fatty acid alkyl ester,,,,,,,Lipid,120.1631738,9.942822488,110.2203513,125.7741359
GR Sierra,GR Sierra,140,245,1,4,19.96,25.7,25.7,Fatty acid alkyl ester,,,,,,,Lipid,120.1631738,9.942822488,110.2203513,125.7741359
GR Sierra,GR Sierra,245,295,2,1,2.75,14.39,14.39,Hexane (C6),86,6,14,,,"57, 86",CONT,131.3850979,5.762588451,125.7741359,135.828953
GR Sierra,GR Sierra,245,295,2,2,16.58,71.6,71.6,Fatty acid alkyl ester,,,,,,,Lipid,131.3850979,5.762588451,125.7741359,135.828953
GR Sierra,GR Sierra,245,295,2,3,18.34,14.01,14.01,Fatty acid alkyl ester,,,,,,,Lipid,131.3850979,5.762588451,125.7741359,135.828953
GR Sierra,GR Sierra,295,364,3,1,2.17,22.78,25.2630458075723,Methylfuran,82,5,6,1,,"53, 82",Polysaccharide,140.272808,6.982386041,135.828953,150.2048938
GR Sierra,GR Sierra,295,364,3,2,2.5,8.89,9.86352453652249,Benzene,78,6,6,,,78,Aromatic,140.272808,6.982386041,135.828953,150.2048938
GR Sierra,GR Sierra,295,364,3,3,2.75,1.02,1.12771947104666,Hexane,86,6,14,,,"57, 86",CONT,140.272808,6.982386041,135.828953,150.2048938
GR Sierra,GR Sierra,295,364,3,4,16.58,35.21,39.0594462450391,Fatty acid alkyl ester,,,,,,,Lipid,140.272808,6.982386041,135.828953,150.2048938
GR Sierra,GR Sierra,295,364,3,5,18.34,8.79,9.75127391149061,Fatty acid alkyl ester,,,,,,,Lipid,140.272808,6.982386041,135.828953,150.2048938
GR Sierra,GR Sierra,295,364,3,6,19.96,13.46,14.9349900283289,Fatty acid alkyl ester,,,,,,,Lipid,140.272808,6.982386041,135.828953,150.2048938
GR Sierra,GR Sierra,364,484,4,1,2.09,10.12,10.2877321342377,Methylfuran (Furan C1),82,5,6,1,,"53, 82",Polysaccharide,160.1369795,9.634781541,150.2048938,174.4710124
GR Sierra,GR Sierra,364,484,4,2,2.23,9.27,9.42235093869878,Benzene,78,6,6,,,78,Aromatic,160.1369795,9.634781541,150.2048938,174.4710124
GR Sierra,GR Sierra,364,484,4,3,2.4,6.01,6.1083758859843,Dimethylfuran (Furan-C2),96,6,8,1,,"67, 81, 96",Polysaccharide,160.1369795,9.634781541,150.2048938,174.4710124
GR Sierra,GR Sierra,364,484,4,4,2.61,5.61,5.69611056067881,Pyridine,79,5,5,,1,"52, 79",N-Bearing,160.1369795,9.634781541,150.2048938,174.4710124
GR Sierra,GR Sierra,364,484,4,5,2.68,16.98,17.2569163935676,Methylbenzene (Bz-C1),92,7,8,,,91,Aromatic,160.1369795,9.634781541,150.2048938,174.4710124
GR Sierra,GR Sierra,364,484,4,6,3.07,2.6,2.6383151690674,"Imidazole, 2-methyl",82,4,6,,2,"54, 82",N-Bearing,160.1369795,9.634781541,150.2048938,174.4710124
GR Sierra,GR Sierra,364,484,4,7,3.11,3.42,3.47758046896832,"1H-Pyrrole, 3-methyl-",81,5,7,,1,"53, 80",N-Bearing,160.1369795,9.634781541,150.2048938,174.4710124
GR Sierra,GR Sierra,364,484,4,8,3.31,5.58,5.67324644971166,p-Xylene (Bz-C2),106,8,10,,,"91, 106",Aromatic,160.1369795,9.634781541,150.2048938,174.4710124
GR Sierra,GR Sierra,364,484,4,9,3.48,3.67,3.72745979727155,Styrene,104,8,8,,,"51, 78, 104",Aromatic,160.1369795,9.634781541,150.2048938,174.4710124
GR Sierra,GR Sierra,364,484,4,10,3.57,4.23,4.29438813098595,"2-Cyclopenten-1-one, 2-methyl",96,6,8,1,,"53, 67, 96",Polysaccharide,160.1369795,9.634781541,150.2048938,174.4710124
GR Sierra,GR Sierra,364,484,4,11,4.09,1.85,1.88247846962884,Acetophenone,120,8,8,1,,"51, 77, 105, 120",Aromatic,160.1369795,9.634781541,150.2048938,174.4710124
GR Sierra,GR Sierra,364,484,4,12,4.25,1.99,2.02464243070904,Phenol,94,6,6,1,,"66, 94",Aromatic,160.1369795,9.634781541,150.2048938,174.4710124
GR Sierra,GR Sierra,364,484,4,13,4.4,4.36,4.42903234001474,Benzofuran,118,8,6,1,,"63, 90, 118",Aromatic,160.1369795,9.634781541,150.2048938,174.4710124
GR Sierra,GR Sierra,364,484,4,14,4.65,1.57,1.59794731092651,"Benzene, 1-ethyl-4-methyl- (Bz-C3)",120,9,12,,,"91, 105, 120",Aromatic,160.1369795,9.634781541,150.2048938,174.4710124
GR Sierra,GR Sierra,364,484,4,15,4.81,1.06,1.07603587124965,Bz-C3,120,9,12,,,"91, 105, 120",Aromatic,160.1369795,9.634781541,150.2048938,174.4710124
GR Sierra,GR Sierra,364,484,4,16,4.92,3.12,3.16673017808602,Indene,116,9,8,,,"89, 116",Aromatic,160.1369795,9.634781541,150.2048938,174.4710124
GR Sierra,GR Sierra,364,484,4,17,5.29,0.9,0.913954729060285,Bz-C3,120,9,12,,,"91, 105, 120",Aromatic,160.1369795,9.634781541,150.2048938,174.4710124
GR Sierra,GR Sierra,364,484,4,18,5.36,0.72,0.727688438381221,Bz-C3,120,9,12,,,"91, 105, 120",Aromatic,160.1369795,9.634781541,150.2048938,174.4710124
GR Sierra,GR Sierra,364,484,4,19,5.55,0.53,0.543251276579529,"Benzofuran, 7-methyl-",132,9,8,1,,"77, 103, 132",Aromatic,160.1369795,9.634781541,150.2048938,174.4710124
GR Sierra,GR Sierra,364,484,4,20,5.59,0.94,0.9523664354851,"Benzofuran, 2-methyl-",132,9,8,1,,"77, 103, 132",Aromatic,160.1369795,9.634781541,150.2048938,174.4710124
GR Sierra,GR Sierra,364,484,4,21,5.95,1.15,1.16891497091177,"2,4-Dimethylstyrene",132,10,12,,,"91, 117, 132",Aromatic,160.1369795,9.634781541,150.2048938,174.4710124
GR Sierra,GR Sierra,364,484,4,22,6.1,1.57,1.59550847242334,1-Methylindene (Indene-C1),130,10,10,,,"115, 130",Aromatic,160.1369795,9.634781541,150.2048938,174.4710124
GR Sierra,GR Sierra,364,484,4,23,6.17,2.19,2.22574498894901,Indene-C1,130,10,10,,,"115, 130",Aromatic,160.1369795,9.634781541,150.2048938,174.4710124
GR Sierra,GR Sierra,364,484,4,25,6.54,1.2,1.22246779971039,Naphthalene,128,10,8,,,128,PAH,160.1369795,9.634781541,150.2048938,174.4710124
GR Sierra,GR Sierra,364,484,4,26,7.35,0.46,0.465106826207352,Bz-C6,162,12,18,,,"91, 162",Aromatic,160.1369795,9.634781541,150.2048938,174.4710124
GR Sierra,GR Sierra,364,484,4,27,7.44,0.4,0.406676320402408,Indene-C2,144,11,12,,,"129, 144",Aromatic,160.1369795,9.634781541,150.2048938,174.4710124
GR Sierra,GR Sierra,364,484,4,28,7.51,0.67,0.685008764575871,"1H-Indene, 1-ethylidene-",142,11,10,,,"115, 141",Aromatic,160.1369795,9.634781541,150.2048938,174.4710124
GR Sierra,GR Sierra,364,484,4,29,7.64,0.37,0.371008307293651,1-Tridecene,182,13,26,,,"55, 182",Alkane,160.1369795,9.634781541,150.2048938,174.4710124
GR Sierra,GR Sierra,364,484,4,30,7.7,0.34,0.343164901049209,"Naphthalene, x-methyl- (Naph-C1)",142,11,10,,,"115, 142",PAH,160.1369795,9.634781541,150.2048938,174.4710124
GR Sierra,GR Sierra,364,484,4,31,7.75,0.23,0.235449533826182,Tridecane (C13),184,13,28,,,"57, 184",Alkane,160.1369795,9.634781541,150.2048938,174.4710124
GR Sierra,GR Sierra,364,484,4,32,7.89,0.77,0.787439981708711,Naph-C1,142,11,10,,,"115, 142",PAH,160.1369795,9.634781541,150.2048938,174.4710124
GR Sierra,GR Sierra,364,484,4,33,8.11,0.51,0.5144933058964,Naph-C1,142,11,10,,,"115, 142",PAH,160.1369795,9.634781541,150.2048938,174.4710124
GR Sierra,GR Sierra,364,484,4,36,9.43,0.06,0.0659502578563626,"Naphthalene, x,x-dimethyl- (Naph-C2)",156,12,12,,,"141, 156",PAH,160.1369795,9.634781541,150.2048938,174.4710124
GR Sierra,GR Sierra,364,484,4,37,9.88,0.21,0.212280568046135,Naph-C2,156,12,12,,,"141, 156",PAH,160.1369795,9.634781541,150.2048938,174.4710124
GR Sierra,GR Sierra,364,484,4,38,10.19,0.17,0.175291517414831,Pentadecane (C15),212,15,32,,,"57, 212",Alkane,160.1369795,9.634781541,150.2048938,174.4710124
GR Sierra,GR Sierra,364,484,4,40,11.36,0.17,0.17386886162132,Hexadecane (C16),226,16,34,,,"57, 226",Alkane,160.1369795,9.634781541,150.2048938,174.4710124
GR Sierra,GR Sierra,364,484,4,41,11.46,0.37,0.378019967990245,"4,6,8-Trimethylazulene",170,13,14,,,"155, 170",PAH,160.1369795,9.634781541,150.2048938,174.4710124
GR Sierra,GR Sierra,364,484,4,42,12.99,0.33,0.334324111475243,Isobutyl laurate,256,16,32,2,,"56, 183, 201, 256",CONT,160.1369795,9.634781541,150.2048938,174.4710124
GR Sierra,GR Sierra,364,484,4,43,16.56,1.36,1.38282143129335,Fatty acid alkyl ester,,,,,,,Lipid,160.1369795,9.634781541,150.2048938,174.4710124
GR Sierra,GR Sierra,364,484,4,44,18.32,0.54,0.546299824708483,Fatty acid alkyl ester,,,,,,,Lipid,160.1369795,9.634781541,150.2048938,174.4710124
GR Sierra,GR Sierra,364,484,4,45,19.95,0.8,0.813555877346747,Fatty acid alkyl ester,,,,,,,Lipid,160.1369795,9.634781541,150.2048938,174.4710124
GR Sierra,GR Sierra,484,800,5,1,2.11,1.21,1.30427352448348,"1,3-Cyclohexadiene",80,6,8,,,"51, 79, 80",Alkane,188.8050453,15.14380517,174.4710124,203.9488505
GR Sierra,GR Sierra,484,800,5,2,2.19,23.59,25.3556792056775,Benzene,78,6,6,,,78,Aromatic,188.8050453,15.14380517,174.4710124,203.9488505
GR Sierra,GR Sierra,484,800,5,3,2.51,5.17,5.55264761614053,Pyridine,79,5,5,,1,"52, 79",N-Bearing,188.8050453,15.14380517,174.4710124,203.9488505
GR Sierra,GR Sierra,484,800,5,4,2.63,15.37,16.5210129374045,Methylbenzene (Bz-C1),92,7,8,,,91,Aromatic,188.8050453,15.14380517,174.4710124,203.9488505
GR Sierra,GR Sierra,484,800,5,5,2.9,6.64,7.13755222199413,"Pyridine, 2-nitro-",124,5,4,2,2,"51, 78, 94, 124",N-Bearing,188.8050453,15.14380517,174.4710124,203.9488505
