date_time,fraction,ug_frac,d13C,d13C_std,Fm,Fm_std,Temp
1:00:01 AM,-1,0,0,0,0,0,50
1:02:01 AM,0,0,0,0,0,0,140
1:07:16 AM,1,0.02,-23.35825148,0.020502629,0.9456,0.0035,245
1:12:01 AM,2,0.404,-23.47726045,0.00950318,0.9392,0.0021,340
1:14:31 AM,3,0.182,-21.72736187,0.025495271,0.8937,0.0022,390
1:19:46 AM,4,0.3,-22.27785118,0.044994373,0.8427,0.0019,495
1:35:01 AM,5,0.094,-19.49550701,0.162488927,0.8404,0.0019,800
