"temp","CO2_av","CO2_med","Moving","Modelled","CO2_scaled"
190,1624,1624,1645.72547619048,1590.99846328739,1645.72547619048
191,1644,1644,1710.18658730159,1604.38301947495,1710.18658730159
192,1662,1662,1770.46863858364,1630.5842637121,1770.46863858364
193,1680,1680,1821.02318403818,1674.45856584081,1821.02318403818
194,1722.33333333333,1721,1869.77318403818,1738.8345571537,1869.77318403818
195,1778,1778,1953.84818403818,1818.429914746,1953.84818403818
196,1834.5,1834.5,2042.84532689533,1905.93457716361,2042.84532689533
197,1898,1898,2128.74532689533,1994.0384829524,2128.74532689533
198,1963.5,1963.5,2215.49532689533,2075.43157065827,2215.49532689533
199,2416.28571428571,2110,2308.59532689533,2145.80601320957,2308.59532689533
200,2139.66666666667,2140,2411.62032689533,2212.86292106448,2411.62032689533
201,2505.22222222222,2651,2523.25366022866,2287.30563906369,2523.25366022866
202,2463.30769230769,2529,2637.18699356199,2379.83751204784,2637.18699356199
203,2311.09090909091,2258,2757.43699356199,2501.16188485761,2757.43699356199
204,2320,2320,2871.72684863446,2657.85063094197,2871.72684863446
205,3085,3085,2986.86018196779,2839.94973818317,2986.86018196779
206,3144,3144,3113.76018196779,3033.37372307178,3113.76018196779
207,3208,3208,3248.76018196779,3224.03710209836,3248.76018196779
208,3311,3311,3382.93518196779,3397.85439175348,3382.93518196779
209,3462,3462,3497.68756292017,3544.47599095757,3497.68756292017
210,3684.5,3687.5,3627.45422958684,3668.49582835057,3627.45422958684
211,3876.66666666667,3880,3738.49311847573,3778.24371500225,3738.49311847573
212,3940.66666666667,3943,3850.87773386034,3882.04946198243,3850.87773386034
213,4085,3939,3970.7231884058,3988.24288036089,3970.7231884058
214,4008.13043478261,3966,4092.7731884058,4102.66100174706,4092.7731884058
215,4080.66666666667,4073,4218.53227931489,4221.16973990888,4218.53227931489
216,4372.5,4372.5,4373.85227931489,4337.14222915395,4373.85227931489
217,4545.44681369688,4549.73037756069,4437.93762480512,4443.95160378985,4437.93762480512
218,4588.6047385345,4591.60062784588,4453.54435271935,4534.97099812414,4453.54435271935
219,4598,4598,4518.21137022398,4603.57354646443,4518.21137022398
220,4647,4647,4681.16137022398,4643.13238311828,4681.16137022398
221,4711.33333333333,4716,4838.16137022398,4652.78823231268,4838.16137022398
222,4735,4735,4985.88637022398,4654.7521779521,4985.88637022398
223,4726,4726,5127.35303689065,4677.00289386045,5127.35303689065
224,4711,4711,5271.61970355731,4747.51905386162,5271.61970355731
225,4708,4708,5414.51970355731,4894.27933177947,5414.51970355731
226,4761,4757,5604.52318181818,5134.36080213277,5604.52318181818
227,5600.18181818182,5221,5823.90234848485,5441.23414221977,5823.90234848485
228,6250.4,6540.5,6057.87734848485,5777.46843003356,6057.87734848485
229,6095.18181818182,6102,6305.63359848485,6105.63274356726,6305.63359848485
230,6257.96756649361,6140.18083970433,6425.3339372893,6388.29616081399,6425.3339372893
231,6570,6570,6577.81109848485,6588.02775976685,6577.81109848485
232,6602,6602,6878.99443181818,6682.39291881373,6878.99443181818
233,6604.74067714581,6594.66641748433,7040.24853185398,6708.94221792163,7040.24853185398
234,6639,6639,7198.71943181818,6720.22253745234,7198.71943181818
235,6706,6706,7526.21943181818,6768.78075776764,7526.21943181818
236,6826,6826,7851.20276515152,6907.16375922931,7851.20276515152
237,6943,6943,8188.71943181818,7187.91842219913,8188.71943181818
238,7808.2,7294,8544.66943181818,7643.9667902117,8544.66943181818
239,8468.25,7960,8961.81534090909,8229.73155949289,8961.81534090909
240,9052,8683.5,9427.80962662338,8880.01058944134,9427.80962662338
241,9553.125,9572.5,9926.12553571429,9529.60173945572,9926.12553571429
242,10090.55,10170.5,10401.3255357143,10113.3028689347,10401.3255357143
243,10735,10735,10883.8005357143,10585.7168966905,10883.8005357143
244,11129.5,11129.5,11375.8505357143,10980.6669791892,11375.8505357143
245,11276,11276,11873.8505357143,11351.7813323106,11873.8505357143
246,11210.6666666667,11336,12381.3005357143,11752.6881719345,12381.3005357143
247,11458.3333333333,11453,12904.0505357143,12237.0157139404,12904.0505357143
248,11880,11796.5,13403.2155357143,12840.7108290622,13403.2155357143
249,13943.1,13738,13885.6030357143,13528.9950074492,13885.6030357143
250,15570.2857142857,15801,14456.994702381,14249.4083941047,14456.994702381
251,16061.5,16061.5,15099.808452381,14949.4911340322,15099.808452381
252,16074,16074,15662.4042857143,15576.7833722348,15662.4042857143
253,16034.7400878615,16090.4102864303,15871.0781680517,16090.9079116738,15871.0781680517
254,16032.486249753,16085.8840146761,15861.6625311903,16499.8181871406,15861.6625311903
255,16095.364286768,16119.7907355838,15886.6608271464,16823.5502913845,15886.6608271464
256,16251.5,16251.5,16198.5765079365,17082.1403171548,16198.5765079365
257,16480,16480,16909.9015079365,17295.6243572007,16909.9015079365
258,16666,16666,17668.0181746032,17484.0385042716,17668.0181746032
259,16975,16975,18500.2848412698,17667.4188511166,18500.2848412698
260,17398,17398,19718.6581746032,17865.801490485,19718.6581746032
261,17791.5,17791.5,20711.3748412698,18099.2225151261,20711.3748412698
262,18116,18116,21893.5531746032,18395.3517109142,21893.5531746032
263,20479.8333333333,18502,23139.1565359477,18812.393636224,23139.1565359477
264,22409.4,23986,24593.3815359477,19416.1865425554,24593.3815359477
265,21342.4666666667,21789,26031.3315359477,20272.5686814081,26031.3315359477
266,21458.4444444444,21399,27438.0565359477,21447.3783042821,27438.0565359477
267,22428.9286680688,22577.3385068737,28124.5028510693,22979.3253822002,28124.5028510693
268,23759.0448384744,24018.411097347,28449.0924021484,24798.6067642784,28449.0924021484
269,25356,25356,29105.964869281,26808.2910191559,29105.964869281
270,26438.3333333333,26404,30549.5648692811,28911.4467154717,30549.5648692811
271,27856,27856,32353.9759803922,31011.1424218651,32353.9759803922
272,35825.8,30289,34286.8593137255,33010.4467069752,34286.8593137255
273,31734.3333333333,31756,36507.1843137255,34812.4281394411,36507.1843137255
274,37586.6666666667,34260,38807.8843137255,36348.4299932387,38807.8843137255
275,40482.3529411765,40665,41052.2426470588,37662.89436369,41052.2426470588
276,41802.1833895257,44939.7720834878,41955.1725495269,38828.538051454,41955.1725495269
277,43179.9247163464,46287.0713607987,41975.6843951198,39918.0778571893,41975.6843951198
278,44374.7919202879,45943.5849577103,42126.1953666822,41004.230581555,42126.1953666822
279,45146,45146,43419.1226470588,42159.7130252097,43419.1226470588
280,44833,44769,45939.7326470588,43457.2419888124,45939.7326470588
281,42747.4130584408,44459.8255795255,47191.778639384,44969.5342730218,47191.778639384
282,44386,44386,48260.2229248366,46769.3066784967,48260.2229248366
283,49838.1666666667,44447,50634.0284803922,48898.1393920701,50634.0284803922
284,45538,45107,53411.4618137255,51273.0661452716,53411.4618137255
285,53063.2222222222,51489,56518.5868137255,53779.9840558049,56518.5868137255
286,56055.6666666667,56250,59231.0134803922,56304.7902413736,59231.0134803922
287,62198,62198,62083.1134803922,58733.3818196815,62083.1134803922
288,64563.9907234574,64199.388196509,63434.7770838315,60988.4765885751,63434.7770838315
289,64130,64130,64801.1036764706,63140.0750664734,64801.1036764706
290,65367,65367,67717.5860294118,65294.9984519381,67717.5860294118
291,69747,66784,70440.3860294118,67560.067943531,70440.3860294118
292,71754.6666666667,67436,73217.5860294118,70042.1047398138,73217.5860294118
293,67868.25,67916.5,76362.0985294118,72847.9300393485,76362.0985294118
294,72832.1111111111,72673,79052.3901960784,76035.7292184118,79052.3901960784
295,81987,81987,82235.6601960784,79469.1443641416,82235.6601960784
296,87699.8428663758,88881.2333474932,83756.3894758202,82963.1817413905,83756.3894758202
297,89998.5,90128,85150.1490849673,86332.8476150116,85150.1490849673
298,90074.3333333333,87079,88176.7965208648,89393.1482498577,88176.7965208648
299,88776.3333333333,88833,91237.8965208648,91959.0899107817,91237.8965208648
300,91946.4705882353,91133,94185.3965208648,93912.3261639673,94185.3965208648
301,95924.8542764593,95102.9746529531,96023.5283190783,95401.0997809226,96023.5283190783
302,98812,98812,97069.7715208648,96640.3008344866,97069.7715208648
303,100069.761960984,99815.2577929516,98076.4284784802,97844.8193974983,98076.4284784802
304,99602,99602,99708.9215208648,99229.5455427966,99708.9215208648
305,100377,100377,102293.908187531,101009.369343221,102293.908187531
306,107276.25,102376.5,105001.558187531,103399.180871609,105001.558187531
307,103644,103644,107322.16691769,106516.129070605,107322.16691769
308,109203.4,106068,109536.59191769,110086.398362066,109536.59191769
309,111353,108624,111667.074060547,113738.432037654,111667.074060547
310,116588.615384615,116588,113472.607393881,117100.673389029,113472.607393881
311,123420,123420,115269.140727214,119801.565707853,115269.140727214
312,124543.883049957,124419.181290788,116195.306585181,121571.875900119,116195.306585181
313,123080,123080,116884.767197802,122551.665329144,116884.767197802
314,123054.5,123054.5,118110.792197802,122983.318972575,118110.792197802
315,122530,122530,119394.613626374,123109.22180806,119394.613626374
316,123454.4,121824,120428.451126374,123171.758813248,120428.451126374
317,122021.25,119893,120838.188626374,123413.314965787,120838.188626374
318,119244.285714286,118496,121411.338626374,124004.694019584,121411.338626374
319,126275.5,126735,121698.368626374,124830.374833588,121698.368626374
320,132608.142857143,133028,121787.293626374,125703.255043009,121787.293626374
321,126185,126185,121382.987857143,126436.232283053,121382.987857143
322,123585.50893341,123600.030923976,120990.77366892,126842.20418893,120990.77366892
323,124707,124707,120430.90452381,126734.068395849,120430.90452381
324,124259,124259,119501.20452381,125974.432452621,119501.20452381
325,123332.5,124986.5,118638.27952381,124624.743562467,118638.27952381
326,125278.428571429,126959,117553.97952381,122796.158842212,117553.97952381
327,121053.75,121027.5,116348.15952381,120599.83540868,116348.15952381
328,115471,115471,115092.49702381,118146.930378697,115092.49702381
329,115107,115107,113813.882738095,115554.748328211,113813.882738095
330,114944,114941,112011.257738095,112965.183669673,112011.257738095
331,113131.5,113815.5,109356.067261905,110526.278274659,109356.067261905
332,108502.5,107867,106992.017261905,108386.074014743,106992.017261905
333,104378.333333333,104295,104385.083928571,106692.612761502,104385.083928571
334,104486,104994,101789.833928571,105526.412711422,101789.833928571
335,105796,105796,99257.1089285714,104697.89736064,99257.1089285714
336,105136.302152223,104879.385079038,98170.2482658466,103949.9665302,98170.2482658466
337,103022.735987545,102878.294603034,97765.5400561274,103025.520041151,97765.5400561274
338,100844,100844,96597.4875,101667.457714538,96597.4875
339,99338,99338,93887.9,99618.6793714093,93887.9
340,96908,96908,91195.3666666667,96622.0848328104,91195.3666666667
341,93672,93672,89022.9833333334,92549.4367060368,89022.9833333334
342,90223,90171,86454.6958333333,87787.9487433761,86454.6958333333
343,79504.3333333333,74383,83963.4930555556,82853.6974833646,83963.4930555556
344,78904,78597.5,81694.7180555556,78262.7594645382,81694.7180555556
345,72568.3333333333,72412,79207.6513888889,74531.2112254331,79207.6513888889
346,72354,72354,76689.8013888889,72036.2326200942,76689.8013888889
347,72678,72678,74084.9313888889,70599.4167646022,74084.9313888889
348,73239.607672865,71021.3157210357,72961.6144043511,69903.4600905468,72961.6144043511
349,73533.4476608069,69892.0683536912,72640.1323563136,69631.0590295173,72640.1323563136
350,72086,72086,71713.2313888889,69464.9100131035,71713.2313888889
351,66862,72059,69456.1813888889,69087.709472895,69456.1813888889
352,61620.3333333333,57027,67332.5313888889,68182.1538404813,67332.5313888889
353,71659.3333333333,71686,65382.8813888889,66531.7584464176,65382.8813888889
354,63578.25,64036.5,63504.8480555556,64323.3142171221,63504.8480555556
355,63307.4444444444,59436,62050.7480555556,61844.4309779784,62050.7480555556
356,63127,62955,60785.6980555556,59382.7185543703,60785.6980555556
357,54637,54637,59757.0725653595,57225.7867716811,59757.0725653595
358,54129,54129,58986.3100653595,55598.7855346874,58986.3100653595
359,53698.6,53739,57847.3600653595,54477.0250657357,57847.3600653595
360,53410,53410,56786.8600653595,53773.3556665654,56786.8600653595
361,54197,54197,55944.2100653595,53400.6276389156,55944.2100653595
362,54570.4220650816,54823.6180407558,55699.2257364349,53271.6912845257,55699.2257364349
363,54457.6553564962,55013.7015044761,55816.5914663453,53299.3969051349,55816.5914663453
364,54274.0609696626,54854.9342159584,55866.6279540962,53396.5948024824,55866.6279540962
365,54435,54435,55419.6558986928,53476.1352783076,55419.6558986928
366,54679,54679,54396.7267320261,53468.2022553803,54396.7267320261
367,52662.3333333333,54928,53698.2187774807,53372.3141405938,53698.2187774807
368,50422.3333333333,48557,53021.3465552585,53205.322961872,53021.3465552585
369,53603,55748,52359.5965552585,52984.0807471387,52359.5965552585
370,51995.8235294118,51535,52146.7283734403,52725.4395243179,52146.7283734403
371,56938.75,57369,51883.2033734403,52446.2513213335,51883.2033734403
372,49899,49899,51650.5233734403,52160.7415735127,51650.5233734403
373,46684.6408627857,46433.9883882175,51584.1203677697,51872.6293457968,51584.1203677697
374,48831.2316291602,48869.077691373,51569.5118271369,51583.0071105303,51569.5118271369
375,50876,50876,51437.7233734403,51292.9673400577,51437.7233734403
376,50009,49600,51145.4233734403,51003.6025067238,51145.4233734403
377,51129.25,51582.5,50957.3358734403,50716.005082873,50957.3358734403
378,51200.75,51305,50684.1858734403,50431.2675408499,50684.1858734403
379,49608.0909090909,49376,50618.8192067736,50152.0253070648,50618.8192067736
380,49770,49770,50698.9989686784,49887.0856241904,50698.9989686784
381,49892,49892,50624.2489686784,49646.7986889651,50624.2489686784
382,50379.6363636364,50379,50666.4327922078,49441.5146981273,50666.4327922078
383,49715.2109864086,49556.7681840578,50578.2441291174,49281.5838484155,50578.2441291174
384,48858.5,48639.5,50498.7786255411,49177.3563365681,50498.7786255411
385,49045,49045,50637.6604437229,49137.4274276608,50637.6604437229
386,49154,49154,50865.9854437229,49163.3726601192,50865.9854437229
387,48173.2924434798,48148.1125886119,50988.6539121845,49255.012640706,50988.6539121845
388,47318.2281544751,47304.6890414947,51042.9204303004,49412.1679761843,51042.9204303004
389,48351,48351,51126.960443723,49634.6592733167,51126.960443723
390,50673.25,50689.5,51321.397943723,49922.3071388662,51321.397943723
391,49216,49216,51591.3021103896,50274.9321795958,51591.3021103896
392,51355,51092,51821.6975649351,50693.6650050114,51821.6975649351
393,52025.9285714286,52105.5,52195.2475649351,51184.8762355922,52195.2475649351
394,52108,52108,52545.2808982684,51756.2464945608,52545.2808982684
395,52839.5,52839.5,52779.0490800866,52415.4564051395,52779.0490800866
396,53585.6666666667,53604,52830.9740800866,53170.1865905507,52830.9740800866
397,52676.6363636364,52696,52952.5990800866,54009.7624101643,52952.5990800866
398,55442.5,55442.5,52990.2490800866,54850.0881679398,52990.2490800866
399,55228.5,55228.5,53137.1240800866,55588.7129039843,53137.1240800866
400,55018,55018,53194.6949134199,56123.1856584046,53194.6949134199
401,56598.8333333333,56665,53360.0115800866,56351.0554713078,53360.0115800866
402,54216,54216,53449.5365800866,56202.6425803641,53449.5365800866
403,55104.0491402459,55107.4206446156,53526.459956022,55739.3520134965,53526.459956022
404,57241,57241,53596.2768181818,55055.3599961913,53596.2768181818
405,56892.6666666667,56907,53624.4268181818,54244.8427539349,53624.4268181818
406,55055,55363,53632.4768181818,53401.9765122136,53632.4768181818
407,49897,49772.5,53763.0268181818,52620.9374965138,53763.0268181818
408,51477.5,51477.5,53958.995,51980.4394292277,53958.995
409,49907,49907,54069.1366666667,51497.3460203716,54069.1366666667
410,48718.3105914075,48631.9979114905,54099.5221901185,51173.0584768678,54099.5221901185
411,49111.6592427687,48971.6164330051,54092.1860010028,51008.9780056388,54092.1860010028
412,50248.0532727456,50124.3017380172,54086.868894719,51006.5058136067,54086.868894719
413,51288.5,51288.5,54123.3116666667,51167.0431076939,54123.3116666667
414,51824.6666666667,51988,54180.0616666667,51491.9910948227,54180.0616666667
415,52522.3333333333,52487,54154.07,51982.7509819154,54154.07
416,53145.5,52929,54295.96,52629.0743270982,54295.96
417,54960.7333333333,55667,54282.76,53374.1140933123,54282.76
418,52671,52671,54277.2808333333,54149.3735947029,54277.2808333333
419,51377.425771715,50972.6873450755,54226.2378738285,54886.3561454151,54226.2378738285
420,53000.5,53000.5,54375.4608333333,55516.565059594,54375.4608333333
421,56196.6666666667,56756.5,54879.0775,55971.5036513849,54879.0775
422,56596,56678.5,55319.8025,56204.2646012847,55319.8025
423,57645.3333333333,57663,55853.5825,56254.2980551985,55853.5825
424,56312,56312,56301.7175,56182.6435253829,56301.7175
425,55414.9353524479,55417.0442991162,56462.8480300661,56050.3405240951,56462.8480300661
426,55513.0111695712,55549.3938305351,56451.2958272549,55918.4285635917,56451.2958272549
427,55970.8314019089,56023.2964466865,56457.4880917687,55847.9471561297,56457.4880917687
428,56153,56153,56671.8520238095,55899.9358139659,56671.8520238095
429,56079,56079,57113.6353571429,56135.4340493573,57113.6353571429
430,57053.8,57312,57317.5103571429,56591.09994014,57317.5103571429
431,56977,56755.5,57424.1736904762,57206.065826467,57424.1736904762
432,56783.0833333333,56668,57610.2111904762,57895.0826140708,57610.2111904762
433,57018.6,56470,57702.0861904762,58572.9012086836,57702.0861904762
434,59969.3333333333,60011,57474.3028571429,59154.272516038,57474.3028571429
435,60779.2405628044,60761.2300470891,57298.6189769681,59568.9105637711,57298.6189769681
436,60292,60176,57211.9966071429,59806.3818671397,57211.9966071429
437,60582.6,61035,57083.1699404762,59871.2160633055,57083.1699404762
438,60251.2,60322,56724.0616071429,59767.9427894302,56724.0616071429
439,59227.3571428571,59019.5,56278.3616071429,59501.0916826755,56278.3616071429
440,61358,61358,55907.1616071429,59075.1923802031,55907.1616071429
441,57223,57223,55386.1716071429,58496.9994481082,55386.1716071429
442,57094,57094,54829.4716071429,57782.1671682204,54829.4716071429
443,56391.75,56588,54256.9549404762,56948.5747513028,54256.9549404762
444,54838,54727.5,53713.3249404762,56014.1014081186,53713.3249404762
445,53795.2630485161,52794.4087292443,53473.4903395368,54996.6263494309,53473.4903395368
446,52956.4416610085,50910.60983221,53325.4816852877,53914.0287860029,53325.4816852877
447,51641,48901,52911.9082738095,52784.1879285976,52911.9082738095
448,51349.875,49339.5,52070.7957738095,51629.9587892566,52070.7957738095
449,55068.8,55914,51221.6470238095,50494.0995851356,51221.6470238095
450,49129.8333333333,49293.5,50249.9370238095,49424.3443346681,50249.9370238095
451,47239,47239,49123.5191666667,48468.4270562884,49123.5191666667
452,48655,48655,47938.3191666667,47674.0817684301,47938.3191666667
453,46634,46634,46937.6191666667,47072.2127191598,46937.6191666667
454,45843,45812.5,45996.9191666667,46626.4050750736,45996.9191666667
455,45332.75,45323,45029.8379166667,46283.4142324002,45029.8379166667
456,46146,46146,44086.1329166667,45989.9955873684,44086.1329166667
457,46403.1974627733,46423.2174473823,43650.5506824021,45692.9045362069,43650.5506824021
458,45825.8764716159,45869.0497456506,43604.7844062532,45338.8964751444,43604.7844062532
459,44857.3672446506,44902.1071710937,43639.5745281681,44874.7268004097,43639.5745281681
460,43941,43941,43445.6614880952,44247.1509082314,43445.6614880952
461,43469.75,43330.5,42745.4427380952,43423.5756755665,42745.4427380952
462,43599.625,43207.5,41681.4277380952,42454.0139022849,41681.4277380952
463,44061.8118824767,43635.8455400898,41228.3980039252,41409.1298689845,41228.3980039252
464,43622.8491191476,43370.4206010837,41161.3358353103,40359.5878562633,41161.3358353103
465,40817,40817,40881.9027380952,39376.0521447193,40881.9027380952
466,36699,36699,40068.5060714286,38529.1870149505,40068.5060714286
467,37654,37096.5,39255.8060714286,37889.656747555,39255.8060714286
468,37209,37209,38484.6560714286,37504.7514809952,38484.6560714286
469,37294.9352081377,37465.0777401386,38226.255272908,37328.2647851909,38226.255272908
470,38055.3209469494,38004.386263182,38190.5676614475,37290.6160879263,38190.5676614475
471,38280,38280,37839.1560714286,37322.2248169857,37839.1560714286
472,37050.125,37375,36896.4185714286,37353.5104001534,36896.4185714286
473,35963.9,35689,35975.5435714286,37314.8922652136,35975.5435714286
474,38831.5714285714,39280,35290.1397252747,37136.7898399505,35290.1397252747
475,39311.5638742216,39786.2308408889,34821.9388870295,36767.1021674924,34821.9388870295
476,37345.5,37345.5,34458.5572252747,36223.6467523442,34458.5572252747
477,35089.5674313384,35004.5322874939,34051.7742577223,35541.7207143546,34051.7742577223
478,33788.5,33788.5,33391.9259752747,34756.6211733724,33391.9259752747
479,33139.3333333333,33025,32459.3259752747,33903.6452492465,32459.3259752747
480,30971.0666666667,30758,31753.1926419414,33018.0900618256,31753.1926419414
481,32401,32401,31011.2826419414,32135.2527309587,31011.2826419414
482,31211,31211,30417.7326419414,31284.3601294011,30417.7326419414
483,32933,32933,29763.1201419414,30470.3581415356,29763.1201419414
484,31950.4489855688,30356.6168108823,29443.0824084369,29692.1224046513,29443.0824084369
485,28733.3210009218,25360.1965006437,29325.0570236232,28948.5285560375,29325.0570236232
486,26478,23501,29080.4138919414,28238.4522329835,29080.4138919414
487,27728.5,27728.5,28498.3438919414,27560.7690727785,28498.3438919414
488,30232.9230769231,30456,27763.3930982906,26914.3547127119,27763.3930982906
489,26838.1,25653,27015.7680982906,26298.0847900728,27015.7680982906
490,23841.5335828261,22403.9964101061,26696.610264674,25712.8652695319,26696.610264674
491,22636.7324906682,21912.7911267871,26631.1998162247,25167.7234252853,26631.1998162247
492,22267,22267,26455.4630982906,24673.7168589105,26455.4630982906
493,22165,22165,25968.3526816239,24241.9031719849,25968.3526816239
494,22576.3333333333,22262,25470.3493482906,23883.339966086,25470.3493482906
495,22815.8,22832,24928.9493482906,23609.0848427912,24928.9493482906
496,25338,25338,24437.8993482906,23430.1954036781,24437.8993482906
497,25187.75,25232.5,23839.1493482906,23350.8545351047,23839.1493482906
498,23396,23396,23511.070776862,23347.746262552,23511.070776862
499,24322.5,24322.5,23119.808276862,23390.6798962816,23119.808276862
500,24132.5555555556,24025,22555.1121230159,23449.4647465551,22555.1121230159
501,23407.7690848213,22990.5666978292,22277.4806645583,23493.9101236342,22277.4806645583
502,22775.0686370907,22079.5086607404,22234.2178202769,23493.8253377804,22234.2178202769
503,22393,21759,22202.9714087302,23419.0196992555,22202.9714087302
504,22582.4,22451,22025.2714087302,23247.5696109484,22025.2714087302
505,23397.125,23613.5,21793.1880753968,22990.6198462587,21793.1880753968
506,22491.0337906138,22692.1845606264,21622.491307594,22667.5822712132,21622.491307594
