"","X1.sol1","X1.sol1.1"
"1",1,80.5143801181869
"2",2,85.2249138962589
"3",3,90.6885172814877
"4",4,96.9682556994258
"5",5,104.121598724744
"6",6,111.960138488879
"7",7,120.080472054532
"8",8,128.129023071717
"9",9,135.747593108022
"10",10,142.776460476773
"11",11,149.019747850834
"12",12,154.492202376816
"13",13,159.15720673119
"14",14,163.061579004675
"15",15,166.242485432499
"16",16,168.797465581917
"17",17,170.775058290923
"18",18,172.217319932499
"19",19,173.214418492435
"20",20,173.79356693218
"21",21,174.032278725037
"22",22,173.968336104544
"23",23,173.598929970409
"24",24,173.060203572835
"25",25,172.315329596124
"26",26,171.369234368701
"27",27,170.323037325806
"28",28,169.122299161946
"29",29,167.888025030955
"30",30,166.440759740153
"31",31,165.032658167098
"32",32,163.538912993511
"33",33,161.978033351833
"34",34,160.422907596045
"35",35,158.792654614066
"36",36,157.187905587392
"37",37,155.518021249097
"38",38,153.842064863425
"39",39,152.173687471888
"40",40,150.508284879615
"41",41,148.821616212848
"42",42,147.177407466372
"43",43,145.510890244846
"44",44,143.892366752428
"45",45,142.199414811012
"46",46,140.640716368978
"47",47,138.986947332402
"48",48,137.412301377723
"49",49,135.804442915009
"50",50,134.264829339757
"51",51,132.709483115518
"52",52,131.174044659934
"53",53,129.673836957059
"54",54,128.197334978219
"55",55,126.755974523977
"56",56,125.250437937311
"57",57,123.871996806344
"58",58,122.470012491852
"59",59,121.022741997013
"60",60,119.668057326858
"61",61,118.310973488367
"62",62,117.025190925606
"63",63,115.669811222872
"64",64,114.388468858085
"65",65,113.095515839847
"66",66,111.87505360017
"67",67,110.617745815514
"68",68,109.360239703827
"69",69,108.204406101706
"70",70,106.967362826277
"71",71,105.829626905632
"72",72,104.61371198463
"73",73,103.482647364301
"74",74,102.376323645047
"75",75,101.29263735692
"76",76,100.139444992972
"77",77,99.107498736039
"78",78,98.025117943328
"79",79,96.9792012588355
"80",80,95.9385302443583
"81",81,94.95791074892
"82",82,93.9189230340698
"83",83,93.0065166231313
"84",84,91.9636547495408
"85",85,90.9837544427159
"86",86,90.0087345003306
"87",87,89.1326223312008
"88",88,88.2160824427158
"89",89,87.227048042126
"90",90,86.3884982010514
"91",91,85.4409803400495
"92",92,84.5970342190869
"93",93,83.7328080920212
"94",94,82.8754658292283
"95",95,82.0164498887759
"96",96,81.223524344759
"97",97,80.3457508338417
"98",98,79.5398255761368
"99",99,78.718863268898
"100",100,77.9402230157846
"101",101,77.1403731830551
"102",102,76.3892529458072
"103",103,75.5813924613442
"104",104,74.8413561315249
"105",105,74.1281740332829
"106",106,73.3405760921162
"107",107,72.588129394271
"108",108,71.8739730368116
"109",109,71.1515964602856
"110",110,70.5112165680553
"111",111,69.7637657545695
"112",112,69.0886946937523
"113",113,68.3740735009402
"114",114,67.7323320597372
"115",115,67.026558740819
"116",116,66.375346206204
"117",117,65.7489458766434
"118",118,65.067722089243
"119",119,64.4492804859127
"120",120,63.7854050235347
"121",121,63.1787435817408
"122",122,62.5245405741834
"123",123,61.9431433391455
"124",124,61.3270816462885
"125",125,60.7389490238997
"126",126,60.121952925535
"127",127,59.5388719073562
"128",128,58.9411399818918
"129",129,58.3570556689008
"130",130,57.7969783250039
"131",131,57.2011557584202
"132",132,56.72099232679
"133",133,56.0382006376714
"134",134,55.5019989553653
"135",135,55.0294232626904
"136",136,54.4249857181824
"137",137,53.9659127436072
"138",138,53.3938531284601
"139",139,52.8489430840962
"140",140,52.3357443360362
"141",141,51.7195056102826
"142",142,51.3012733727214
"143",143,50.7727166371428
"144",144,50.2857625125961
"145",145,49.8231650998286
"146",146,49.2669103657994
"147",147,48.7299629939284
"148",148,48.337717661622
"149",149,47.8024555284535
"150",150,47.3852665306367
"151",151,46.8294419494264
"152",152,46.4067623197466
"153",153,45.8703824671878
"154",154,45.4937268824835
"155",155,44.9763493463644
"156",156,44.5544314651696
"157",157,44.0811800978869
"158",158,43.680344247452
"159",159,43.1486071165232
"160",160,42.7545451807478
"161",161,42.3324247001835
"162",162,41.9071322292026
"163",163,41.4730625601067
"164",164,41.0479827182844
"165",165,40.5982480059366
"166",166,40.1648386968383
"167",167,39.7488636496663
"168",168,39.3632974107618
"169",169,38.8908951610194
"170",170,38.4879308634092
"171",171,38.1012521506257
"172",172,37.6840421958664
"173",173,37.2823321000018
"174",174,36.8321160250817
"175",175,36.5185725623582
"176",176,36.1137781103682
"177",177,35.6749947609119
"178",178,35.2923055092957
"179",179,34.9254166995954
"180",180,34.5408690612092
"181",181,34.1969617993119
"182",182,33.77773074145
"183",183,33.3402868899599
"184",184,33.0454923329182
"185",185,32.6397118294139
"186",186,32.2964313267791
"187",187,31.9354355257038
"188",188,31.5429404393572
"189",189,31.1853550050547
"190",190,30.780786346253
"191",191,30.4189707770699
"192",192,30.1024301635473
"193",193,29.718177187575
"194",194,29.4033925509403
"195",195,29.158718198129
"196",196,28.7214227668944
"197",197,28.3801856771859
"198",198,28.0269262558086
"199",199,27.7133805491456
"200",200,27.3539859840792
"201",201,27.0200591055372
"202",202,26.6984057063253
"203",203,26.369696044491
"204",204,25.96973243103
"205",205,25.673701441326
"206",206,25.4060634078677
"207",207,25.0584048483329
"208",208,24.6675251816681
"209",209,24.3553394999487
"210",210,24.0054704360499
"211",211,23.7769193531454
"212",212,23.4832449730225
"213",213,23.1106461685608
"214",214,22.7638270614476
"215",215,22.4658416255519
"216",216,22.196838129392
"217",217,21.8501898696615
"218",218,21.5147361337786
"219",219,21.181312742993
"220",220,20.963249288857
"221",221,20.7210625897147
"222",222,20.3419707267107
"223",223,20.0286570183608
"224",224,19.802412346227
"225",225,19.4417660849793
"226",226,19.145445501948
"227",227,18.8721302046031
"228",228,18.58071420533
"229",229,18.2687542150592
"230",230,17.9537462841628
"231",231,17.6581751030616
"232",232,17.4525270105843
"233",233,17.1253959820168
"234",234,16.8503890160223
"235",235,16.4993389046304
"236",236,16.2418758658969
"237",237,16.0227657276697
"238",238,15.7224345892408
"239",239,15.4335553016054
"240",240,15.1847238429734
"241",241,14.9237307544985
"242",242,14.6415964880522
"243",243,14.3391917190816
"244",244,14.0311438227465
"245",245,13.8139110620064
"246",246,13.5309384901297
"247",247,13.2163713172901
"248",248,12.9935225329523
"249",249,12.7500497611814
"250",250,12.484198382311
"251",251,12.2266912884303
"252",252,11.9260545383704
"253",253,11.6599392648982
"254",254,11.4226072561801
"255",255,11.2425144511714
"256",256,10.8976061136117
"257",257,10.6376545438331
"258",258,10.4027791482943
"259",259,10.1866031605127
"260",260,9.8785811381894
"261",261,9.58375721913951
"262",262,9.34748999580814
"263",263,9.18638706413533
"264",264,8.89286599649552
"265",265,8.57660333737131
"266",266,8.34172860732929
"267",267,8.11063302314419
"268",268,7.88050668958973
"269",269,7.6344653514635
"270",270,7.38616345683885
"271",271,7.14254161891481
"272",272,6.89050354136755
"273",273,6.59333018043751
"274",274,6.41825567104526
"275",275,6.16204699134681
"276",276,6.00214026090695
"277",277,5.7265065664871
"278",278,5.49639522525047
"279",279,5.25924092671115
"280",280,4.9386194438481
"281",281,4.7768175373688
"282",282,4.48202187407754
"283",283,4.27519394206488
"284",284,4.05808948386288
"285",285,3.85682453193836
"286",286,3.57356310041279
"287",287,3.2992035862982
"288",288,3.13280160913321
"289",289,2.94029655188832
"290",290,2.6371724442551
"291",291,2.40179061967338
"292",292,2.16079026549099
"293",293,2.00669512569474
"294",294,1.75306095425309
"295",295,1.60791525157733
"296",296,1.27626675552439
"297",297,1.10150904758255
