"temp","CO2_av","CO2_med","Moving*","Modelled","CO2_scaled","CO2_prop"
81,394.019437551696,394.019437551696,334.497631281502,397.875954206112,334.497631281502,0.0122147409563281
83,398.853846153846,398.853846153846,320.953151221538,391.315888123283,320.953151221538,0.0117201415934364
84,402.366666666667,402.366666666667,304.55385634676,384.9513708593,304.55385634676,0.0111212938886128
88,347.233333333333,347.233333333333,287.109799567219,333.849939331451,287.109799567219,0.0104842949539021
90,292.3,292.3,269.649446491382,289.865125491505,269.649446491382,0.00984670093265213
91,237.966666666667,237.966666666667,252.063436849888,262.807003142057,252.063436849888,0.00920451835155768
93,190.033333333333,190.033333333333,234.236686467654,204.176970602927,234.236686467654,0.00855354471931434
95,155.366666666667,155.366666666667,216.047107802592,150.27025683776,216.047107802592,0.00788932180494784
96,130.1,130.1,197.594700854701,129.116282955764,197.594700854701,0.00721550127585848
97,114.033333333333,114.033333333333,178.63,113.97690491968,178.63,0.00652297347718036
98,110.7,110.7,159.168888888889,105.910960281397,159.168888888889,0.00581231842699709
100,114.333333333333,114.333333333333,143.072222222222,105.843618257487,143.072222222222,0.00522452169779326
101,116.8,116.8,130.268888888889,110.435717653106,130.268888888889,0.00475698654830643
102,118.2,118.2,120.687777777778,115.840661841274,120.687777777778,0.00440711623727415
103,118.4,118.4,113.888888888889,120.355199212613,113.888888888889,0.00415884342813504
104,117.233333333333,117.233333333333,108.992222222222,122.276078157748,108.992222222222,0.00398003344776635
105,114.383333333333,114.383333333333,105.384444444444,120.368360464233,105.384444444444,0.00384828940277947
106,110.45,110.45,102.483333333333,115.270361507343,102.483333333333,0.00374235047408815
107,105.783333333333,105.783333333333,99.4977777777777,108.088710059287,99.4977777777777,0.00363332791514768
108,100.25,100.25,96.0344444444444,99.9300348922701,96.0344444444444,0.00350685850085015
109,94.25,94.25,92.2266666666666,91.9009647784999,92.2266666666666,0.00336781112106264
110,88.05,88.05,88.201111111111,84.9033252023519,88.201111111111,0.00322081122115891
111,81.9166666666667,81.9166666666667,84.0822222222222,79.0197284968769,84.0822222222222,0.00307040309834821
112,75.9833333333333,75.9833333333333,80.0122222222222,74.1279837072948,80.0122222222222,0.00292178023515544
113,70.5166666666667,70.5166666666667,76.1844444444444,70.1058998788255,76.1844444444444,0.00278200252188788
114,65.9166666666667,65.9166666666667,72.7322222222222,66.8312860566886,72.7322222222222,0.0026559388484126
115,62.3833333333333,62.3833333333333,69.7422222222222,64.181951286104,69.7422222222222,0.00254675399314323
117,59.6833333333333,59.6833333333333,67.33,60.3740454866393,67.33,0.00245866766063121
120,57.8166666666667,57.8166666666667,65.5711111111111,57.6579423855422,65.5711111111111,0.00239443888846792
122,56.6166666666667,56.6166666666667,64.5255555555556,57.3261072984171,64.5255555555556,0.00235625867709353
