"temp","CO2_av","CO2_med","Moving*","Modelled","CO2_scaled"
68,90.1463414634146,8,220.931170238975,109.340484864298,220.931170238975
69,68.3846153846154,47,233.881170238975,223.686998680859,233.881170238975
70,468.666666666667,551,238.973477931283,350.745265022763,238.973477931283
73,771,771,241.429033486838,677.565946655685,241.429033486838
76,668,668,244.109033486838,729.769219125925,244.109033486838
79,544,544,247.082366820172,560.796050915885,247.082366820172
80,421,421,250.252063789869,478.597026454494,250.252063789869
83,299,299,253.546508234313,224.203103175572,253.546508234313
84,177,177,251.936752136752,153.431668136583,251.936752136752
85,74,74,252.377777777778,97.9862474673709,252.377777777778
87,34,34,226.733333333333,41.6477652662489,226.733333333333
88,37,37,181.466666666667,35.0876244529532,181.466666666667
89,43,43,143.533333333333,38.2074750440179,143.533333333333
90,50,50,114.133333333333,47.4627604490809,114.133333333333
91,58,58,93.1333333333333,59.3089240777798,93.1333333333333
92,66,66,80.0333333333333,70.7320491786698,80.0333333333333
93,75,75,74.3,80.8407783559741,74.3
94,84,84,74.5,89.2743940528332,74.5
95,92,92,76.9,95.6721787123878,76.9
96,99,99,78.6333333333333,99.6734147777783,78.6333333333333
97,103,103,79.5666666666667,101.044084959662,79.5666666666667
98,106,106,79.6333333333333,100.056973038762,79.6333333333333
100,102.5,102.5,79.0333333333333,92.6073390815722,79.0333333333333
101,91,91,77.3666666666667,86.9437851417618,77.3666666666667
102,77,77,75.2666666666667,80.5203852921278,75.2666666666667
103,70,70,72.1,73.7366235809102,72.1
104,63,63,68.3666666666667,66.9597164223238,68.3666666666667
105,57,57,64.1666666666667,60.4278096944832,64.1666666666667
106,51,51,59.6333333333333,54.3467816414779,59.6333333333333
108,49,49,55.0333333333333,44.3608745363312,55.0333333333333
109,41,41,50.7333333333333,40.8677519723688,50.7333333333333
110,43.5,43.5,47.3333333333333,38.5700403665928,47.3333333333333
111,36.5,36.5,45.0666666666667,37.2787144980594,45.0666666666667
112,36,36,43.4,36.7257684528177,43.4
113,36,36,42.4,36.6431963169171,42.4
114,35,35,41.9333333333333,36.7629921764067,41.9333333333333
117,37,37,42.1333333333333,37.0906116037892,42.1333333333333
120,38,38,42.7333333333333,38.1958281839347,42.7333333333333
122,40,40,44.1333333333333,40.0403603320149,44.1333333333333
123,43,43,45.7,41.4469803366506,45.7
124,45,45,48.0666666666667,43.2440752293284,48.0666666666667
126,48,48,51.0666666666667,48.2124064817443,51.0666666666667
127,50,50,54.6666666666667,51.4494968872661,54.6666666666667
128,54,54,58.8,55.0667528496641,58.8
129,58,58,63.2666666666667,58.9018274355715,63.2666666666667
130,62,62,68.2,62.7923737116215,68.2
131,67,67,74.5166666666667,66.5760447444474,74.5166666666667
133,72,72,82.3166666666666,74.1694194584948,82.3166666666666
134,81,81,91.1166666666667,79.0239926763425,91.1166666666667
135,90,90,100.983333333333,85.3634066684519,100.983333333333
136,97,97,111.85,93.7723490851069,111.85
137,104,104,124.05,104.835507576591,124.05
138,112,112,138.356666666667,118.959547268926,138.356666666667
139,134.75,134.5,154.534444444444,135.839043191073,154.534444444444
140,160,160,171.401111111111,154.990547847733,171.401111111111
141,177,177,188.574444444444,175.930613743604,188.574444444444
142,196,196,205.124444444444,198.175793383386,205.124444444444
143,213,213,222.076444444444,221.242639271778,222.076444444444
144,237,237,240.174483660131,244.614928637383,240.174483660131
145,272.6,274,258.774483660131,267.645337604411,258.774483660131
146,304.666666666667,305,277.141150326797,289.653767020977,277.141150326797
147,320,320,294.291150326797,309.960117735198,294.291150326797
148,329.6,330,310.024483660131,327.884290595187,310.024483660131
149,329.25,329.5,324.891150326797,342.915533706374,324.891150326797
150,344.28,331,338.757816993464,355.220484203454,338.757816993464
151,368.470588235294,369,351.824483660131,365.135126478437,351.824483660131
153,383,383,363.491150326797,379.137423930149,363.491150326797
155,387.5,387.5,373.051150326797,387.610301197588,373.051150326797
157,392,392,380.806705882353,393.241633416833,380.806705882353
158,396,396,387.806705882353,395.779034468188,387.806705882353
159,400,400,394.366705882353,398.298122562214,394.366705882353
161,404,404,401.150039215686,403.361777961072,401.150039215686
163,409,409,407.198039215686,408.593435779,407.198039215686
164,412,412,411.766666666667,411.322526896864,411.766666666667
165,416,416,422.383333333333,414.263923803126,422.383333333333
166,421,421,435.438888888889,417.987689126146,435.438888888889
167,425,425,446.388888888889,423.173877115817,446.388888888889
168,428,428,467.230555555556,430.502542022033,467.230555555556
169,431,431,482.261928104575,440.653738094686,482.261928104575
170,435,435,493.270902463549,454.428135938524,493.270902463549
171,437,437,528.604235796883,473.108871577709,528.604235796883
172,542.25,440.5,564.637569130216,498.099697391257,564.637569130216
173,583.333333333333,444,601.437569130216,530.804365758186,601.437569130216
174,556.25,449.5,638.904235796883,572.626629057512,638.904235796883
175,708.625,777,678.837569130216,624.97023966825,678.837569130216
176,625.470588235294,672,720.696828389476,688.130752516759,720.696828389476
177,569.134615384615,532,763.333192025839,757.970932718751,763.333192025839
178,939,939,805.199858692506,829.245347937278,805.199858692506
179,952.5,952.5,846.933192025839,896.708565835398,846.933192025839
180,968,968,881.89430313695,955.11515407616,881.89430313695
181,983,983,914.972080914728,1000.41808239316,914.972080914728
182,1024,1015.5,951.155414248061,1033.36392880217,951.155414248061
183,1055.88888888889,1060,978.313747581395,1055.89767338948,978.313747581395
184,1070.54545454545,1072,1011.06570836571,1069.96429624142,1011.06570836571
186,1063,1063,1043.97525252525,1080.47609708437,1043.97525252525
187,1063,1063,1050.41114996115,1080.61314277113,1050.41114996115
188,1066.66666666667,1066,1054.48448329448,1078.87443220647,1054.48448329448
189,1079.5,1079.5,1057.08448329448,1076.01639061543,1057.08448329448
190,1099,1099,1058.45114996115,1072.79544322307,1058.45114996115
191,1116,1116,1056.71781662782,1069.96801525442,1056.71781662782
192,1116.75,1118,1052.65855736856,1068.29053193452,1052.65855736856
193,1062.77777777778,1061,1047.62219373219,1068.13852130892,1047.62219373219
194,1035.53846153846,1041,1043.42219373219,1068.36392270523,1043.42219373219
195,1013.6,1014,1039.88886039886,1067.43777827153,1039.88886039886
197,1007,1007,1037.44441595442,1056.0150205065,1037.44441595442
199,1003.5,1003.5,1036.07774928775,1021.63858519864,1036.07774928775
200,998,998,1034.97774928775,993.617553762274,1034.97774928775
201,995,995,1034.57774928775,964.854488939818,1034.57774928775
202,995,995,1044.77774928775,943.403692434689,1044.77774928775
203,1000,1000,1067.07677462888,937.31946595031,1067.07677462888
204,1010,1010,1111.70754385965,954.656111190099,1111.70754385965
205,1030,1030,1171.60087719298,1001.05995503112,1171.60087719298
206,1059,1059,1235.66754385965,1072.54542504498,1235.66754385965
207,1082.5,1082.5,1303.10087719298,1162.71897397693,1303.10087719298
208,1110,1110,1372.50087719298,1265.18705457223,1372.50087719298
209,1269.75,1186,1443.50087719298,1373.55611957612,1443.50087719298
210,1397.26315789474,1350.5,1516.26754385965,1481.43262173386,1516.26754385965
211,1705,1705,1591.03421052632,1583.39035589816,1591.03421052632
212,1912,1912,1668.00087719298,1677.87248535159,1668.00087719298
216,1968,1968,1747.33421052632,1969.255063857,1747.33421052632
217,2015,2015,1829.03421052632,2017.51675060639,1829.03421052632
218,2039,2039,1914.60087719298,2054.76586498505,1914.60087719298
219,2060,2060,2043.53738512949,2082.12207474332,2043.53738512949
220,2086.5,2086.5,2148.05246449457,2107.54169707286,2148.05246449457
221,2121.5,2121.5,2298.83492063492,2140.69021152561,2298.83492063492
222,2164.5,2164.5,2428.06825396825,2191.23309765357,2428.06825396825
223,2220,2220,2551.73492063492,2268.8358350087,2551.73492063492
224,2284.5,2284.5,2679.13492063492,2381.48644754777,2679.13492063492
225,2366,2367,2819.18492063492,2530.46313684674,2819.18492063492
226,3044.04761904762,3103,2975.83492063492,2715.36664888637,2975.83492063492
227,2837.47619047619,2795,3161.28492063492,2935.79772964742,3161.28492063492
228,3659,3659,3391.53492063492,3191.35712511064,3391.53492063492
229,3643.5,3643.5,3638.10158730159,3481.64558125681,3638.10158730159
230,3767,3767,3845.26825396825,3802.90876930787,3845.26825396825
231,3879,3879,4092.66825396825,4137.97206145053,4092.66825396825
232,4115.75,4093.5,4343.16825396825,4466.30575511274,4343.16825396825
233,4388.75,4411.5,4595.50158730159,4767.38014772242,4595.50158730159
234,4841.75,4818,4816.32063492063,5020.66553670747,4816.32063492063
235,5540.25,5539.5,5063.48888888889,5212.13664055538,5063.48888888889
236,5820,5820,5261.48888888889,5353.78586199181,5261.48888888889
